tile_id	chrom	start	end	siScr_mCh	siLMNA_mCh	dlam_mCh	siScr_DNK	siLMNA_DNK	dlam_DNK	cov_min	tss_count
chr1:26500000-27000000	chr1	26500000	27000000	-1.24118	-1.05758	0.1836	-1.21166	-1.15346	0.0581984	1.0000	11
chr1:27000000-27500000	chr1	27000000	27500000	-0.989696	-0.879844	0.109852	-1.0976	-1.14496	-0.0473614	1.0000	10
chr1:27500000-28000000	chr1	27500000	28000000	-1.03288	-1.02509	0.00778669	-1.08104	-1.26604	-0.185004	1.0000	10
chr1:28000000-28500000	chr1	28000000	28500000	-1.35383	-1.21546	0.138373	-1.41614	-1.21186	0.204278	1.0000	7
chr1:28500000-29000000	chr1	28500000	29000000	-0.984707	-0.813083	0.171623	-1.05555	-1.15439	-0.0988415	1.0000	9
chr1:29000000-29500000	chr1	29000000	29500000	-0.0991246	-0.270622	-0.171498	-0.451678	-0.603851	-0.152173	1.0000	4
chr1:29500000-30000000	chr1	29500000	30000000	0.498988	0.235735	-0.263254	0.0803309	0.0104251	-0.0699058	1.0000	0
chr1:30000000-30500000	chr1	30000000	30500000	0.645421	0.461695	-0.183726	0.251878	0.174939	-0.0769383	1.0000	0
chr1:30500000-31000000	chr1	30500000	31000000	-0.22392	-0.305974	-0.0820537	-0.497994	-0.586477	-0.0884828	1.0000	3
chr1:31000000-31500000	chr1	31000000	31500000	-0.936134	-0.825295	0.110839	-1.02563	-1.31422	-0.288583	1.0000	6
chr1:31500000-32000000	chr1	31500000	32000000	-0.97835	-0.846894	0.131456	-1.2582	-1.11215	0.146056	1.0000	8
chr1:32000000-32500000	chr1	32000000	32500000	-0.713432	-0.822259	-0.108827	-1.1124	-1.23426	-0.121864	1.0000	17
chr1:32500000-33000000	chr1	32500000	33000000	-0.886374	-0.854003	0.0323708	-0.979302	-0.988804	-0.00950197	1.0000	11
chr1:33000000-33500000	chr1	33000000	33500000	-0.319609	-0.505173	-0.185564	-0.695505	-0.80691	-0.111405	1.0000	7
chr1:33500000-34000000	chr1	33500000	34000000	0.541349	0.258377	-0.282972	0.331828	-0.0666474	-0.398475	1.0000	1
chr1:34000000-34500000	chr1	34000000	34500000	0.69999	0.332076	-0.367915	0.342538	0.0518187	-0.290719	1.0000	2
chr1:34500000-35000000	chr1	34500000	35000000	0.425159	0.205714	-0.219445	0.0503255	-0.0267111	-0.0770366	1.0000	7
chr1:35000000-35500000	chr1	35000000	35500000	-0.828326	-0.852981	-0.0246556	-0.793822	-0.987371	-0.193549	1.0000	4
chr1:35500000-36000000	chr1	35500000	36000000	-0.695287	-0.806708	-0.11142	-1.01336	-1.06614	-0.0527818	1.0000	9
chr1:36000000-36500000	chr1	36000000	36500000	-0.726981	-0.598018	0.128963	-0.938728	-0.898147	0.0405804	1.0000	13
chr1:36500000-37000000	chr1	36500000	37000000	1.38873	1.18555	-0.203186	0.814793	0.886352	0.0715591	1.0000	0
chr1:37000000-37500000	chr1	37000000	37500000	1.12626	1.14684	0.0205816	0.757883	0.807411	0.0495282	1.0000	2
chr1:37500000-38000000	chr1	37500000	38000000	0.0510288	-0.0991473	-0.150176	-0.274556	-0.325713	-0.0511572	1.0000	14
chr1:38000000-38500000	chr1	38000000	38500000	0.827133	0.969619	0.142486	0.73885	0.616995	-0.121855	1.0000	3
chr1:38500000-39000000	chr1	38500000	39000000	0.296751	0.375024	0.078273	0.169559	0.097298	-0.0722611	1.0000	5
chr1:39000000-39500000	chr1	39000000	39500000	-1.1323	-0.945765	0.186531	-1.17925	-1.23277	-0.0535206	1.0000	3
chr1:39500000-40000000	chr1	39500000	40000000	-0.882876	-0.850522	0.032354	-1.14371	-1.17368	-0.0299631	1.0000	10
chr1:40000000-40500000	chr1	40000000	40500000	-1.18713	-1.16147	0.0256588	-1.35944	-1.24679	0.11265	1.0000	9
chr1:40500000-41000000	chr1	40500000	41000000	-0.93238	-0.986966	-0.0545864	-1.00784	-1.05187	-0.044035	1.0000	7
chr1:41000000-41500000	chr1	41000000	41500000	-0.734489	-0.894024	-0.159535	-0.994407	-1.01731	-0.0229001	1.0000	4
chr1:41500000-42000000	chr1	41500000	42000000	-0.617271	-0.637609	-0.0203377	-0.842917	-0.997484	-0.154566	1.0000	2
chr1:42000000-42500000	chr1	42000000	42500000	-0.841773	-0.742962	0.0988108	-1.01125	-1.06506	-0.0538113	1.0000	7
chr1:42500000-43000000	chr1	42500000	43000000	-0.854301	-0.765869	0.0884322	-0.901549	-1.10768	-0.206134	1.0000	10
chr1:43000000-43500000	chr1	43000000	43500000	-0.722818	-0.79448	-0.0716624	-1.22923	-1.14062	0.0886154	1.0000	12
chr1:43500000-44000000	chr1	43500000	44000000	-0.764716	-0.884355	-0.119639	-1.13242	-1.14154	-0.00911325	1.0000	9
chr1:44000000-44500000	chr1	44000000	44500000	-0.554307	-0.67381	-0.119503	-0.758527	-1.08469	-0.326168	1.0000	6
chr1:44500000-45000000	chr1	44500000	45000000	-0.404145	-0.679526	-0.275381	-0.620167	-0.927196	-0.307029	1.0000	12
chr1:45000000-45500000	chr1	45000000	45500000	-0.390833	-0.56101	-0.170176	-0.405896	-0.844206	-0.438309	1.0000	7
chr1:45500000-46000000	chr1	45500000	46000000	-1.06952	-1.20605	-0.136524	-1.1448	-1.17553	-0.0307317	1.0000	10
chr1:46000000-46500000	chr1	46000000	46500000	-0.531732	-0.507898	0.0238346	-0.716108	-0.879737	-0.163629	1.0000	11
chr1:46500000-47000000	chr1	46500000	47000000	0.795435	0.847104	0.0516694	0.63011	0.600413	-0.0296978	1.0000	9
chr1:47000000-47500000	chr1	47000000	47500000	0.697604	0.710687	0.013083	0.514425	0.502964	-0.0114607	1.0000	9
chr1:47500000-48000000	chr1	47500000	48000000	1.4144	1.50109	0.0866837	1.00314	1.07456	0.0714195	1.0000	1
chr1:48000000-48500000	chr1	48000000	48500000	1.27199	1.5118	0.239812	1.37581	1.35827	-0.0175468	1.0000	2
chr1:48500000-49000000	chr1	48500000	49000000	1.43138	1.84841	0.417026	1.32927	1.29162	-0.0376425	1.0000	1
chr1:49000000-49500000	chr1	49000000	49500000	1.25324	1.48136	0.228115	1.14279	1.52264	0.379848	1.0000	0
chr1:49500000-50000000	chr1	49500000	50000000	0.992712	1.48998	0.497266	1.15132	1.34252	0.191205	1.0000	0
chr1:50000000-50500000	chr1	50000000	50500000	1.09147	1.36944	0.277965	0.93255	1.04706	0.114515	1.0000	3
chr1:50500000-51000000	chr1	50500000	51000000	0.176741	0.0503372	-0.126403	0.46908	0.438002	-0.0310779	1.0000	2
chr1:51000000-51500000	chr1	51000000	51500000	-0.365048	-0.47476	-0.109712	-0.299922	-0.448507	-0.148586	1.0000	3
chr1:51500000-52000000	chr1	51500000	52000000	-1.14792	-0.962772	0.185149	-1.00593	-1.09807	-0.09214	1.0000	4
chr1:52000000-52500000	chr1	52000000	52500000	-1.09363	-1.02271	0.0709183	-1.13856	-1.23364	-0.0950803	1.0000	7
chr1:52500000-53000000	chr1	52500000	53000000	-0.923808	-0.852049	0.0717589	-1.08588	-1.29485	-0.20897	1.0000	8
chr1:53000000-53500000	chr1	53000000	53500000	-0.730789	-0.742501	-0.0117123	-0.951868	-0.984131	-0.0322627	1.0000	7
chr1:53500000-54000000	chr1	53500000	54000000	-0.933576	-0.876148	0.0574281	-1.04603	-1.18462	-0.138591	1.0000	6
chr1:54000000-54500000	chr1	54000000	54500000	-0.49878	-0.518432	-0.0196522	-0.829731	-0.974302	-0.144571	1.0000	7
chr1:54500000-55000000	chr1	54500000	55000000	-0.565949	-0.574373	-0.00842364	-0.493933	-0.856818	-0.362885	1.0000	10
chr1:55000000-55500000	chr1	55000000	55500000	-0.460666	-0.432029	0.0286368	-0.51151	-0.865716	-0.354206	1.0000	2
chr1:55500000-56000000	chr1	55500000	56000000	-0.189462	0.150467	0.339929	-0.114588	-0.155013	-0.040425	1.0000	0
chr1:56000000-56500000	chr1	56000000	56500000	0.148341	0.0590219	-0.0893191	-0.0351098	-0.195691	-0.160581	1.0000	0
chr1:56500000-57000000	chr1	56500000	57000000	-0.191026	0.074431	0.265457	-0.191337	-0.0514682	0.139869	1.0000	5
chr1:57000000-57500000	chr1	57000000	57500000	0.57071	0.965783	0.395073	0.50383	0.537822	0.033992	1.0000	1
chr1:57500000-58000000	chr1	57500000	58000000	0.714809	0.943976	0.229167	0.654832	0.696708	0.0418767	1.0000	0
chr1:58000000-58500000	chr1	58000000	58500000	0.601838	0.928649	0.326811	0.68769	0.677877	-0.0098122	1.0000	0
chr1:58500000-59000000	chr1	58500000	59000000	-0.647451	-0.566076	0.081375	-0.437393	-0.841314	-0.403922	1.0000	4
chr1:59000000-59500000	chr1	59000000	59500000	-0.699945	-0.554852	0.145092	-0.510873	-0.785833	-0.27496	1.0000	1
chr1:59500000-60000000	chr1	59500000	60000000	-0.0854557	-0.0896343	-0.00417859	-0.253944	-0.1881	0.0658443	1.0000	2
chr1:60000000-60500000	chr1	60000000	60500000	0.380336	0.842714	0.462378	0.433991	0.699567	0.265576	1.0000	1
chr1:60500000-61000000	chr1	60500000	61000000	0.736598	1.01482	0.278226	0.628104	0.836936	0.208832	1.0000	0
chr1:61000000-61500000	chr1	61000000	61500000	0.0554386	0.311129	0.255691	0.168195	0.459447	0.291251	1.0000	1
chr1:61500000-62000000	chr1	61500000	62000000	0.357774	0.374718	0.0169438	0.467438	0.328593	-0.138845	1.0000	2
chr1:62000000-62500000	chr1	62000000	62500000	0.112915	0.128932	0.0160176	0.228246	0.0032406	-0.225005	1.0000	3
chr1:62500000-63000000	chr1	62500000	63000000	-0.170979	-0.292957	-0.121978	-0.0400374	0.112842	0.15288	1.0000	3
chr1:63000000-63500000	chr1	63000000	63500000	0.384529	0.449971	0.065442	0.326545	0.372387	0.0458418	1.0000	2
chr1:63500000-64000000	chr1	63500000	64000000	-0.786196	-0.642844	0.143352	-0.594137	-0.844782	-0.250645	1.0000	4
chr1:64000000-64500000	chr1	64000000	64500000	-0.513792	-0.547981	-0.0341895	-0.267001	-0.809716	-0.542714	1.0000	2
chr1:64500000-65000000	chr1	64500000	65000000	-0.569356	-0.388208	0.181149	-0.33372	-0.483212	-0.149492	1.0000	2
chr1:65000000-65500000	chr1	65000000	65500000	-0.121103	0.0768264	0.197929	0.0102897	-0.10188	-0.112169	1.0000	4
chr1:65500000-66000000	chr1	65500000	66000000	0.112768	0.188042	0.0752748	0.16494	0.307996	0.143056	1.0000	1
chr1:66000000-66500000	chr1	66000000	66500000	-0.307143	-0.165335	0.141809	-0.134821	-0.00829987	0.126521	1.0000	0
chr1:66500000-67000000	chr1	66500000	67000000	-0.905255	-0.807735	0.0975197	-0.597963	-0.494296	0.103667	1.0000	5
chr1:67000000-67500000	chr1	67000000	67500000	-0.650066	-0.562379	0.087687	-0.683351	-0.891967	-0.208615	1.0000	5
chr1:67500000-68000000	chr1	67500000	68000000	-0.793537	-0.740824	0.0527133	-0.686396	-0.845398	-0.159002	1.0000	2
chr1:68000000-68500000	chr1	68000000	68500000	-0.774268	-0.6435	0.130768	-0.711194	-0.609838	0.101356	1.0000	4
chr1:68500000-69000000	chr1	68500000	69000000	0.419965	0.534144	0.114179	0.591088	0.569616	-0.0214719	1.0000	0
chr1:69000000-69500000	chr1	69000000	69500000	0.283753	0.393702	0.109949	0.449482	0.683412	0.23393	1.0000	0
chr1:69500000-70000000	chr1	69500000	70000000	-0.147662	-0.0558209	0.0918412	0.270895	0.324366	0.0534715	1.0000	1
chr1:70000000-70500000	chr1	70000000	70500000	-0.687589	-0.526545	0.161044	-0.21409	-0.204468	0.00962243	1.0000	4
chr1:70500000-71000000	chr1	70500000	71000000	0.828366	1.27575	0.447383	1.01094	1.18132	0.170376	1.0000	0
chr1:71000000-71500000	chr1	71000000	71500000	0.864245	1.12187	0.257625	1.07	1.24799	0.177993	1.0000	2
chr1:71500000-72000000	chr1	71500000	72000000	0.30737	0.528059	0.220689	0.586772	1.08667	0.499897	1.0000	0
chr1:72000000-72500000	chr1	72000000	72500000	-0.134235	0.0431951	0.17743	0.137546	0.511425	0.373879	1.0000	1
chr1:72500000-73000000	chr1	72500000	73000000	0.33946	0.448334	0.108874	0.448126	0.905886	0.457759	1.0000	0
chr1:73000000-73500000	chr1	73000000	73500000	0.382355	0.840695	0.45834	0.80199	1.38102	0.57903	1.0000	0
chr1:73500000-74000000	chr1	73500000	74000000	0.441917	0.734947	0.29303	0.65157	0.999361	0.347791	1.0000	0
chr1:74000000-74500000	chr1	74000000	74500000	0.364101	0.708869	0.344767	0.486363	1.03209	0.54573	1.0000	3
chr1:74500000-75000000	chr1	74500000	75000000	1.07886	1.00313	-0.0757296	0.97605	1.16959	0.193536	1.0000	4
chr1:75000000-75500000	chr1	75000000	75500000	0.873304	1.13783	0.264522	1.10288	1.45214	0.349259	1.0000	1
chr1:75500000-76000000	chr1	75500000	76000000	0.674881	0.687732	0.0128506	0.824148	0.923481	0.0993332	1.0000	5
chr1:76000000-76500000	chr1	76000000	76500000	0.853072	1.07764	0.224569	0.873794	0.899862	0.0260674	1.0000	1
chr1:76500000-77000000	chr1	76500000	77000000	0.879706	1.23162	0.35191	1.06649	1.17891	0.112422	1.0000	1
chr1:77000000-77500000	chr1	77000000	77500000	0.103636	0.000982165	-0.102654	0.370929	0.180729	-0.1902	1.0000	2
chr1:77500000-78000000	chr1	77500000	78000000	-1.02496	-0.943444	0.0815137	-0.724875	-0.636462	0.0884129	1.0000	5
chr1:78000000-78500000	chr1	78000000	78500000	-0.181206	-0.15888	0.0223266	-0.204207	-0.0802259	0.123981	1.0000	3
chr1:78500000-79000000	chr1	78500000	79000000	0.136681	-0.223132	-0.359813	0.157981	0.177523	0.0195426	1.0000	2
chr1:79000000-79500000	chr1	79000000	79500000	0.122706	-0.0829634	-0.20567	0.169351	0.34774	0.178389	1.0000	1
chr1:79500000-80000000	chr1	79500000	80000000	0.124958	0.288504	0.163546	0.520493	0.617228	0.0967353	1.0000	0
chr1:80000000-80500000	chr1	80000000	80500000	-0.0434213	0.275429	0.31885	0.601978	0.522551	-0.0794268	1.0000	0
chr1:80500000-81000000	chr1	80500000	81000000	-0.0741019	0.275509	0.349611	0.381267	0.413838	0.0325705	1.0000	0
chr1:81000000-81500000	chr1	81000000	81500000	-0.330245	-0.267728	0.0625169	-0.13496	-0.188289	-0.0533292	1.0000	0
chr1:81500000-82000000	chr1	81500000	82000000	-0.576656	-0.974881	-0.398224	-0.302922	-0.504945	-0.202023	1.0000	1
chr1:82000000-82500000	chr1	82000000	82500000	-0.172315	0.0534834	0.225799	-0.04063	0.112865	0.153495	1.0000	0
chr1:82500000-83000000	chr1	82500000	83000000	-0.0514666	0.149842	0.201309	0.20712	0.274569	0.0674494	1.0000	0
chr1:83000000-83500000	chr1	83000000	83500000	0.0982733	0.153774	0.0555004	0.271766	0.251544	-0.0202218	1.0000	0
chr1:83500000-84000000	chr1	83500000	84000000	0.1968	0.179816	-0.0169846	0.0909765	0.0612723	-0.0297042	1.0000	1
chr1:84000000-84500000	chr1	84000000	84500000	-0.892433	-1.10654	-0.214102	-0.527017	-0.652898	-0.125881	1.0000	4
chr1:84500000-85000000	chr1	84500000	85000000	-0.662742	-0.613417	0.049325	-0.750285	-0.708185	0.0420994	1.0000	6
chr1:85000000-85500000	chr1	85000000	85500000	-0.825796	-0.953847	-0.128051	-0.489681	-0.564622	-0.0749417	1.0000	6
chr1:85500000-86000000	chr1	85500000	86000000	-0.576376	-0.694118	-0.117742	-0.428205	-0.264804	0.163401	1.0000	2
chr1:86000000-86500000	chr1	86000000	86500000	-0.100754	-0.0434758	0.0572785	0.108247	0.233426	0.125179	1.0000	4
chr1:86500000-87000000	chr1	86500000	87000000	-0.445476	-0.409493	0.0359835	-0.0912601	-0.121292	-0.0300322	1.0000	4
chr1:87000000-87500000	chr1	87000000	87500000	0.0432241	0.204596	0.161372	0.181112	0.0872797	-0.0938319	1.0000	1
chr1:87500000-88000000	chr1	87500000	88000000	0.0395006	0.174078	0.134577	0.0518127	0.284188	0.232375	1.0000	0
chr1:88000000-88500000	chr1	88000000	88500000	0.418635	0.588316	0.169681	0.443541	0.6011	0.157559	1.0000	0
chr1:88500000-89000000	chr1	88500000	89000000	-0.311277	-0.299035	0.0122418	0.0349361	0.113546	0.0786103	1.0000	4
chr1:89000000-89500000	chr1	89000000	89500000	0.558645	0.682151	0.123507	0.577493	0.838594	0.261101	1.0000	7
chr1:89500000-90000000	chr1	89500000	90000000	-0.248382	-0.415299	-0.166917	-0.123653	-0.232312	-0.10866	1.0000	5
chr1:90000000-90500000	chr1	90000000	90500000	0.662878	0.87533	0.212453	0.765588	1.03106	0.265472	1.0000	0
chr1:90500000-91000000	chr1	90500000	91000000	0.332802	0.679532	0.34673	0.600588	0.681894	0.0813066	1.0000	1
chr1:91000000-91500000	chr1	91000000	91500000	0.88801	0.937732	0.0497222	0.784231	0.755468	-0.0287627	0.9800	2
chr1:91500000-92000000	chr1	91500000	92000000	-0.0869223	0.0234119	0.110334	-0.0119962	-0.239491	-0.227495	1.0000	3
chr1:92000000-92500000	chr1	92000000	92500000	-0.101812	-0.335394	-0.233582	0.0429559	-0.231477	-0.274432	1.0000	7
chr1:92500000-93000000	chr1	92500000	93000000	-0.845401	-0.85092	-0.00551916	-0.686497	-0.929932	-0.243435	1.0000	3
chr1:93000000-93500000	chr1	93000000	93500000	-1.1741	-1.17558	-0.00147781	-1.16686	-1.08315	0.0837183	1.0000	5
chr1:93500000-94000000	chr1	93500000	94000000	-0.871799	-0.724447	0.147352	-0.815779	-0.800789	0.0149895	1.0000	3
chr1:94000000-94500000	chr1	94000000	94500000	-1.15076	-0.903689	0.24707	-1.14617	-0.948469	0.197703	1.0000	3
chr1:94500000-95000000	chr1	94500000	95000000	-0.739488	-0.87799	-0.138502	-0.866549	-1.02466	-0.158115	1.0000	3
chr1:95000000-95500000	chr1	95000000	95500000	0.207063	0.252028	0.0449649	0.268487	0.285861	0.0173744	1.0000	3
chr1:95500000-96000000	chr1	95500000	96000000	0.647794	0.896295	0.2485	0.806996	0.969738	0.162741	1.0000	0
chr1:96000000-96500000	chr1	96000000	96500000	-0.0484731	0.127635	0.176108	0.136363	0.00820052	-0.128162	1.0000	0
chr1:96500000-97000000	chr1	96500000	97000000	-0.386235	-0.515312	-0.129077	-0.207139	-0.265593	-0.0584549	1.0000	1
chr1:97000000-97500000	chr1	97000000	97500000	-0.346819	-0.464899	-0.11808	-0.200171	-0.172453	0.0277176	1.0000	0
chr1:97500000-98000000	chr1	97500000	98000000	-0.8512	-0.943194	-0.0919939	-0.162795	-0.368349	-0.205554	1.0000	1
chr1:98000000-98500000	chr1	98000000	98500000	-0.732682	-0.695898	0.0367837	-0.231717	-0.468434	-0.236717	1.0000	0
chr1:98500000-99000000	chr1	98500000	99000000	0.447089	0.63818	0.19109	0.659246	0.705867	0.046621	1.0000	1
chr1:99000000-99500000	chr1	99000000	99500000	0.497403	0.56501	0.0676074	0.585618	0.555434	-0.030184	1.0000	2
chr1:99500000-100000000	chr1	99500000	100000000	-0.185333	-0.329289	-0.143955	1.39479e-05	-0.2401	-0.240114	1.0000	4
chr1:100000000-100500000	chr1	100000000	100500000	-0.267334	-0.554571	-0.287237	-0.129932	-0.306604	-0.176672	1.0000	7
chr1:100500000-101000000	chr1	100500000	101000000	-0.359041	-0.571749	-0.212708	-0.335369	-0.342917	-0.00754892	1.0000	4
chr1:101000000-101500000	chr1	101000000	101500000	-0.401377	-0.407509	-0.006132	-0.104549	-0.278932	-0.174384	1.0000	2
chr1:101500000-102000000	chr1	101500000	102000000	0.537172	0.790314	0.253141	0.82874	1.12311	0.29437	1.0000	1
chr1:102000000-102500000	chr1	102000000	102500000	0.468569	0.697902	0.229333	0.719855	1.27433	0.554477	1.0000	0
chr1:102500000-103000000	chr1	102500000	103000000	-0.101878	-0.154595	-0.0527171	0.138116	0.294358	0.156243	1.0000	0
chr1:103000000-103500000	chr1	103000000	103500000	-0.329075	-0.120079	0.208996	0.130329	0.451566	0.321237	1.0000	1
chr1:103500000-104000000	chr1	103500000	104000000	0.183285	0.710253	0.526967	0.793488	1.33017	0.53668	0.6600	6
chr1:104000000-104500000	chr1	104000000	104500000	0.636972	0.722292	0.0853198	0.819738	1.27152	0.451785	1.0000	0
chr1:104500000-105000000	chr1	104500000	105000000	0.278685	0.664255	0.38557	0.784924	1.13124	0.346313	1.0000	0
chr1:105000000-105500000	chr1	105000000	105500000	0.298807	0.488312	0.189505	0.535051	1.33623	0.801178	1.0000	0
chr1:105500000-106000000	chr1	105500000	106000000	0.381642	0.416707	0.0350655	0.401503	1.22807	0.826563	1.0000	0
chr1:106000000-106500000	chr1	106000000	106500000	0.638673	0.870057	0.231384	0.784437	1.33419	0.549755	1.0000	0
chr1:106500000-107000000	chr1	106500000	107000000	0.719124	0.819905	0.100781	0.69579	0.931981	0.236191	1.0000	0
