tile_id	chrom	dlam_mCh	siScr_mCh	dlam_DNK	tss_count	pc1_GSM3602088	pc1_GSM3602089	pc1_GSM3602090	pc1_GSM3602091	pc1_GSM3602092	pc1_GSM3602093
chr1:9500000-10000000	chr1	-0.142162	-0.845986	0.209708	8	1.25635	1.23501	1.18508	1.25932	1.3096	1.17656
chr1:10000000-10500000	chr1	0.114989	-1.2092	0.0118021	7	1.30218	1.22429	1.27815	1.36157	1.12197	1.28498
chr1:10500000-11000000	chr1	-0.171679	-0.641459	0.124789	2	1.19293	1.19046	1.31552	1.185	1.21227	1.13379
chr1:11000000-11500000	chr1	-0.375761	-0.179119	-0.238471	8	1.2721	1.19142	1.03712	1.13932	1.26095	1.19917
chr1:11500000-12000000	chr1	-0.312915	-0.406972	-0.0450391	15	1.13422	1.25385	1.03318	1.25484	1.10902	1.02767
chr1:12000000-12500000	chr1	0.0544348	-0.475068	-0.239046	4	-0.166122	0.10926	-0.00492137	0.246168	0.224104	0.16254
chr1:12500000-13000000	chr1	0.0659306	0.557833	0.00537602	13	-1.12641	-1.26721	-1.22529	-1.00729	-1.03317	-0.864109
chr1:13000000-13500000	chr1	0.0991824	1.03336	0.152493	17	-1.5266	-1.91323	-1.44754	-1.5228	-1.4255	-1.20798
chr1:13500000-14000000	chr1	-0.101648	0.938749	-0.153531	3	-1.36149	-1.41516	-1.00402	-1.31042	-0.655663	-0.995285
chr1:14000000-14500000	chr1	0.16663	0.824798	0.0396161	0	-1.37258	-1.41791	-1.43748	-1.54882	-1.23589	-1.17405
chr1:14500000-15000000	chr1	-0.353869	0.579451	-0.273714	1	-0.66644	-0.679531	-0.788479	-0.608547	-0.398307	-0.545565
chr1:15000000-15500000	chr1	-0.05694	-0.213628	-0.127048	6	-0.0654849	-0.0153733	0.060597	0.0795163	0.380667	0.262594
chr1:15500000-16000000	chr1	-0.0334069	-1.02445	0.146143	12	1.00505	1.22152	0.913938	1.20249	1.08259	1.10091
chr1:16000000-16500000	chr1	0.0164496	-0.941549	0.0740518	12	1.24988	1.34965	1.41188	1.21613	1.32086	1.31061
chr1:16500000-17000000	chr1	-0.150019	-0.64714	-0.181039	8	1.70646	1.27971	1.38378	1.19317	1.19142	1.1097
chr1:17000000-17500000	chr1	-0.440835	-0.296289	-0.0467481	8	1.35252	0.948971	1.37185	1.0993	1.37626	1.29598
chr1:17500000-18000000	chr1	-0.197334	0.524844	-0.149431	2	1.09118	1.17971	1.32097	0.824974	1.20729	1.15198
chr1:18000000-18500000	chr1	0.0201564	0.729354	-0.0739272	2	1.0453	1.10403	1.08841	1.07084	1.16958	1.09921
chr1:18500000-19000000	chr1	-0.15542	0.27539	0.0120278	4	1.04503	1.02393	1.10831	1.14637	1.19411	1.14527
chr1:19000000-19500000	chr1	-0.0600938	-0.675444	-0.209363	7	1.36186	1.18742	1.16669	1.05409	1.02917	1.2361
chr1:19500000-20000000	chr1	-0.309068	-0.324472	-0.143805	8	1.22871	0.882058	1.06204	1.17264	1.0753	1.06505
chr1:20000000-20500000	chr1	-0.145869	-0.0471828	-0.262725	7	1.045	1.01571	1.08761	0.994158	1.0298	1.05864
chr1:20500000-21000000	chr1	0.112104	-1.06943	0.216861	8	1.15416	0.917751	1.26172	0.778654	1.09058	1.02779
chr1:21000000-21500000	chr1	-0.169188	-1.00073	0.0609344	3	1.10727	1.21498	1.02322	1.14022	1.04964	1.17833
chr1:21500000-22000000	chr1	0.0256443	-0.928393	0.0630878	6	1.39858	1.16276	1.28455	1.22515	1.22519	1.083
chr1:22000000-22500000	chr1	0.0955092	-0.882665	-0.00873751	4	1.10679	0.903617	1.13447	0.742677	1.21291	1.09951
chr1:22500000-23000000	chr1	-0.000754839	-0.848562	-0.127685	6	1.20877	0.986538	1.07645	1.09842	1.2235	1.03638
chr1:23000000-23500000	chr1	0.109216	-1.33032	-0.0413868	8	0.858084	0.888478	1.29236	0.910771	1.17782	0.936663
chr1:23500000-24000000	chr1	0.0846527	-1.15633	-0.144743	12	1.15081	1.02195	1.0275	1.05034	1.0404	1.02066
chr1:24000000-24500000	chr1	0.0970021	-0.990325	0.0899532	6	1.36363	0.86881	1.02152	0.937317	1.13827	1.01114
chr1:24500000-25000000	chr1	0.0136775	-1.24297	-0.042332	5	0.978392	0.907419	0.933943	0.834759	1.10553	1.04185
chr1:25000000-25500000	chr1	-0.0391329	-1.04779	-0.0764112	6	0.873492	1.00173	0.924553	0.889099	0.955227	1.07941
chr1:25500000-26000000	chr1	-0.00511445	-0.94522	0.204461	8	0.998349	1.0703	1.16477	0.978223	1.0876	1.012
chr1:26000000-26500000	chr1	-0.0809356	-0.977814	0.0209995	19	1.2011	1.09139	1.25687	1.03299	1.26263	1.1084
chr1:26500000-27000000	chr1	0.1836	-1.24118	0.0581984	11	1.13371	1.09142	1.09024	1.05103	1.26803	1.26327
chr1:27000000-27500000	chr1	0.109852	-0.989696	-0.0473614	10	1.09373	1.11387	1.06894	1.10247	1.19781	1.28267
chr1:27500000-28000000	chr1	0.00778669	-1.03288	-0.185004	10	1.41004	1.12423	0.935693	1.05991	1.23394	1.03144
chr1:28000000-28500000	chr1	0.138373	-1.35383	0.204278	7	1.17231	0.794504	1.21429	0.962577	1.08989	1.06064
chr1:28500000-29000000	chr1	0.171623	-0.984707	-0.0988415	9	1.11457	0.746617	1.0694	0.620923	1.20913	0.985365
chr1:29000000-29500000	chr1	-0.171498	-0.0991246	-0.152173	4	1.04546	1.00754	1.1382	0.993254	1.02042	0.976755
chr1:29500000-30000000	chr1	-0.263254	0.498988	-0.0699058	0	0.96744	0.885588	0.739868	0.900492	0.797265	0.833012
chr1:30000000-30500000	chr1	-0.183726	0.645421	-0.0769383	0	0.938011	0.681836	0.870254	0.796454	0.93699	0.752448
chr1:30500000-31000000	chr1	-0.0820537	-0.22392	-0.0884828	3	1.32514	0.870298	1.0684	0.871835	1.09458	1.1193
chr1:31000000-31500000	chr1	0.110839	-0.936134	-0.288583	6	1.17672	1.02161	1.12742	0.850823	1.19022	1.05962
chr1:31500000-32000000	chr1	0.131456	-0.97835	0.146056	8	1.39498	1.31483	1.26066	1.25326	1.30655	1.0445
chr1:32000000-32500000	chr1	-0.108827	-0.713432	-0.121864	17	1.27706	1.08227	1.19321	1.30699	1.33698	1.26316
chr1:32500000-33000000	chr1	0.0323708	-0.886374	-0.00950197	11	1.21069	1.0695	0.966624	1.12034	1.08935	1.00935
chr1:33000000-33500000	chr1	-0.185564	-0.319609	-0.111405	7	0.926485	1.05874	1.17172	0.957154	0.931461	1.0816
chr1:33500000-34000000	chr1	-0.282972	0.541349	-0.398475	1	0.550525	0.479013	0.680616	0.669366	0.622225	0.49101
chr1:34000000-34500000	chr1	-0.367915	0.69999	-0.290719	2	0.254496	0.519424	0.192888	0.426383	0.36978	0.52883
chr1:34500000-35000000	chr1	-0.219445	0.425159	-0.0770366	7	0.6898	0.726158	0.61684	0.442536	0.707024	0.611643
chr1:35000000-35500000	chr1	-0.0246556	-0.828326	-0.193549	4	0.935728	1.13904	0.936621	0.829177	1.03914	1.03179
chr1:35500000-36000000	chr1	-0.11142	-0.695287	-0.0527818	9	1.21505	1.20123	1.16883	1.09468	1.20893	1.24388
chr1:36000000-36500000	chr1	0.128963	-0.726981	0.0405804	13	1.38031	1.27962	1.24848	1.26292	1.38769	1.26356
chr1:36500000-37000000	chr1	-0.203186	1.38873	0.0715591	0	0.798243	0.770623	0.866931	0.61884	0.829336	0.802082
chr1:37000000-37500000	chr1	0.0205816	1.12626	0.0495282	2	0.592089	0.658564	0.727244	0.745157	0.904228	0.728194
chr1:37500000-38000000	chr1	-0.150176	0.0510288	-0.0511572	14	1.1943	0.98956	1.09583	1.13388	1.24785	1.06632
chr1:38000000-38500000	chr1	0.142486	0.827133	-0.121855	3	0.875321	0.757371	0.823894	0.662063	0.923976	0.725721
chr1:38500000-39000000	chr1	0.078273	0.296751	-0.0722611	5	0.953148	0.839345	1.11597	0.925588	0.965299	0.786835
chr1:39000000-39500000	chr1	0.186531	-1.1323	-0.0535206	3	1.20435	1.26296	1.15417	0.962962	1.14908	1.15721
chr1:39500000-40000000	chr1	0.032354	-0.882876	-0.0299631	10	1.41243	1.11915	1.22014	1.20319	1.36351	1.26519
chr1:40000000-40500000	chr1	0.0256588	-1.18713	0.11265	9	1.35515	1.08612	1.0985	0.882868	1.13498	1.18648
chr1:40500000-41000000	chr1	-0.0545864	-0.93238	-0.044035	7	1.30766	1.13955	1.23472	1.21426	1.16263	1.18797
chr1:41000000-41500000	chr1	-0.159535	-0.734489	-0.0229001	4	1.1948	1.01811	1.14459	1.00731	1.06885	1.11923
chr1:41500000-42000000	chr1	-0.0203377	-0.617271	-0.154566	2	1.01931	1.0137	0.894708	1.0334	1.04829	0.959324
chr1:42000000-42500000	chr1	0.0988108	-0.841773	-0.0538113	7	1.02622	0.779786	0.932989	0.846375	1.03706	1.03936
chr1:42500000-43000000	chr1	0.0884322	-0.854301	-0.206134	10	1.18362	1.08798	1.28986	1.12518	1.01932	1.15029
chr1:43000000-43500000	chr1	-0.0716624	-0.722818	0.0886154	12	1.46333	1.13349	1.27918	1.2084	1.38024	1.1993
chr1:43500000-44000000	chr1	-0.119639	-0.764716	-0.00911325	9	1.33141	1.39744	1.40758	1.43643	1.30256	1.31415
chr1:44000000-44500000	chr1	-0.119503	-0.554307	-0.326168	6	1.4195	1.25684	1.23432	1.11944	1.33189	1.24168
chr1:44500000-45000000	chr1	-0.275381	-0.404145	-0.307029	12	1.32999	1.27002	1.25373	1.05886	1.37531	1.32629
chr1:45000000-45500000	chr1	-0.170176	-0.390833	-0.438309	7	0.926518	1.07794	0.645217	0.969053	0.652613	0.953041
chr1:45500000-46000000	chr1	-0.136524	-1.06952	-0.0307317	10	1.11293	1.22991	0.985444	1.18181	0.97591	1.09128
chr1:46000000-46500000	chr1	0.0238346	-0.531732	-0.163629	11	0.727285	0.940051	1.00136	1.06597	0.984961	1.03097
chr1:46500000-47000000	chr1	0.0516694	0.795435	-0.0296978	9	-0.730516	-0.60378	-0.48817	-0.486316	-0.198725	-0.100363
chr1:47000000-47500000	chr1	0.013083	0.697604	-0.0114607	9	-0.687541	-0.630437	-0.515093	-0.784353	-0.138949	-0.175603
chr1:47500000-48000000	chr1	0.0866837	1.4144	0.0714195	1	-0.286891	-0.0604635	-0.331065	0.15594	0.177299	0.049031
chr1:48000000-48500000	chr1	0.239812	1.27199	-0.0175468	2	-1.31468	-1.41318	-1.27169	-1.08961	-1.0784	-1.16736
chr1:48500000-49000000	chr1	0.417026	1.43138	-0.0376425	1	-1.32384	-1.46794	-1.26966	-1.38723	-1.17528	-1.08774
chr1:49000000-49500000	chr1	0.228115	1.25324	0.379848	0	-1.67313	-1.87025	-1.7656	-1.91954	-1.71596	-1.72297
chr1:49500000-50000000	chr1	0.497266	0.992712	0.191205	0	-1.74313	-1.87614	-1.87312	-1.9194	-1.74338	-1.72374
chr1:50000000-50500000	chr1	0.277965	1.09147	0.114515	3	-1.50153	-1.74468	-1.5666	-1.6814	-1.39227	-1.38474
chr1:50500000-51000000	chr1	-0.126403	0.176741	-0.0310779	2	-1.50098	-1.40037	-1.32703	-1.59269	-1.24742	-1.24658
chr1:51000000-51500000	chr1	-0.109712	-0.365048	-0.148586	3	-1.04863	-1.12076	-0.985879	-1.1996	-0.602194	-0.780872
chr1:51500000-52000000	chr1	0.185149	-1.14792	-0.09214	4	0.234286	0.301676	0.489775	0.384785	0.392054	0.615302
chr1:52000000-52500000	chr1	0.0709183	-1.09363	-0.0950803	7	0.762922	0.953404	0.742103	0.90701	0.89037	0.953178
chr1:52500000-53000000	chr1	0.0717589	-0.923808	-0.20897	8	1.22047	1.24542	1.04015	1.21342	0.956241	1.07104
chr1:53000000-53500000	chr1	-0.0117123	-0.730789	-0.0322627	7	1.23939	1.32433	1.25822	1.22914	1.17564	1.28855
chr1:53500000-54000000	chr1	0.0574281	-0.933576	-0.138591	6	1.3196	1.27458	1.2556	1.26882	1.31021	1.36153
chr1:54000000-54500000	chr1	-0.0196522	-0.49878	-0.144571	7	1.2663	1.11439	1.21695	1.07594	1.10342	1.02526
chr1:54500000-55000000	chr1	-0.00842364	-0.565949	-0.362885	10	1.22275	1.29621	1.43304	1.30822	1.20876	1.30556
chr1:55000000-55500000	chr1	0.0286368	-0.460666	-0.354206	2	1.19403	1.08667	0.989876	1.04106	0.859986	1.00148
chr1:55500000-56000000	chr1	0.339929	-0.189462	-0.040425	0	0.788551	0.82882	0.574537	0.894269	0.63327	0.794233
chr1:56000000-56500000	chr1	-0.0893191	0.148341	-0.160581	0	0.815208	0.717816	0.96108	0.823542	0.729081	0.696193
chr1:56500000-57000000	chr1	0.265457	-0.191026	0.139869	5	0.967101	0.988834	0.768341	0.912284	0.640671	0.61691
chr1:57000000-57500000	chr1	0.395073	0.57071	0.033992	1	0.593157	0.776281	0.782379	0.709645	0.439419	0.387439
chr1:57500000-58000000	chr1	0.229167	0.714809	0.0418767	0	0.524669	0.511501	0.486876	0.46231	-0.0233659	-0.0549728
chr1:58000000-58500000	chr1	0.326811	0.601838	-0.0098122	0	0.520035	0.351297	0.426229	0.423953	0.0288382	0.269612
chr1:58500000-59000000	chr1	0.081375	-0.647451	-0.403922	4	0.655366	0.313196	0.392187	0.572233	0.584059	0.295831
chr1:59000000-59500000	chr1	0.145092	-0.699945	-0.27496	1	0.73244	0.158716	0.644279	0.176992	0.473895	0.284632
chr1:59500000-60000000	chr1	-0.00417859	-0.0854557	0.0658443	2	0.324971	-0.156224	-0.0823912	-0.198651	0.045458	-0.192285
chr1:60000000-60500000	chr1	0.462378	0.380336	0.265576	1	-1.07762	-1.49023	-1.13943	-1.31639	-1.24045	-1.33465
chr1:60500000-61000000	chr1	0.278226	0.736598	0.208832	0	-0.896498	-1.29282	-1.14117	-1.15592	-1.08906	-1.09885
chr1:61000000-61500000	chr1	0.255691	0.0554386	0.291251	1	-0.040532	-0.172175	-0.31386	0.0998745	-0.112054	-0.20555
chr1:61500000-62000000	chr1	0.0169438	0.357774	-0.138845	2	-0.292405	-0.0762297	-0.340231	-0.319445	-0.120382	-0.283164
chr1:62000000-62500000	chr1	0.0160176	0.112915	-0.225005	3	0.47938	0.426577	0.361022	0.423376	0.469177	0.220304
chr1:62500000-63000000	chr1	-0.121978	-0.170979	0.15288	3	0.430302	0.449635	0.350777	0.433052	0.181489	0.253646
chr1:63000000-63500000	chr1	0.065442	0.384529	0.0458418	2	-0.101152	0.16765	0.158996	0.435111	-0.360715	-0.454602
chr1:63500000-64000000	chr1	0.143352	-0.786196	-0.250645	4	0.339321	0.425429	0.408282	0.441663	0.304992	-0.0253773
chr1:64000000-64500000	chr1	-0.0341895	-0.513792	-0.542714	2	0.59677	0.50692	0.49137	0.737958	0.490792	0.39345
chr1:64500000-65000000	chr1	0.181149	-0.569356	-0.149492	2	0.647776	0.716244	0.414648	0.446466	0.443718	0.351453
chr1:65000000-65500000	chr1	0.197929	-0.121103	-0.112169	4	0.0680735	0.393792	0.00795839	0.0502886	-0.00771747	0.082745
chr1:65500000-66000000	chr1	0.0752748	0.112768	0.143056	1	-1.09397	-1.07045	-1.09664	-1.02754	-1.22181	-1.22378
chr1:66000000-66500000	chr1	0.141809	-0.307143	0.126521	0	-1.14533	-1.23656	-1.15858	-1.02107	-1.10225	-1.27283
chr1:66500000-67000000	chr1	0.0975197	-0.905255	0.103667	5	-0.405115	-0.423223	-0.546343	-0.746809	-0.668449	-0.726626
chr1:67000000-67500000	chr1	0.087687	-0.650066	-0.208615	5	0.0556194	0.25842	0.0270035	0.265	0.025883	-0.0221304
chr1:67500000-68000000	chr1	0.0527133	-0.793537	-0.159002	2	-0.0259461	0.101477	-0.0972563	-0.123378	-0.0218326	-0.159946
chr1:68000000-68500000	chr1	0.130768	-0.774268	0.101356	4	-0.672598	-0.67078	-0.60976	-0.880517	-0.62369	-0.704968
chr1:68500000-69000000	chr1	0.114179	0.419965	-0.0214719	0	-1.6606	-1.68384	-1.64896	-1.82436	-1.48669	-1.60586
chr1:69000000-69500000	chr1	0.109949	0.283753	0.23393	0	-1.50798	-1.60765	-1.69837	-1.73761	-1.51146	-1.49247
chr1:69500000-70000000	chr1	0.0918412	-0.147662	0.0534715	1	-1.66301	-1.68758	-1.6966	-1.80677	-1.68113	-1.59568
chr1:70000000-70500000	chr1	0.161044	-0.687589	0.00962243	4	-0.989586	-0.98351	-0.96056	-1.16547	-0.652363	-0.993646
chr1:70500000-71000000	chr1	0.447383	0.828366	0.170376	0	-1.57975	-1.37979	-1.57398	-1.57404	-1.38202	-1.32378
chr1:71000000-71500000	chr1	0.257625	0.864245	0.177993	2	-1.68149	-1.80147	-1.6866	-1.88662	-1.65461	-1.658
chr1:71500000-72000000	chr1	0.220689	0.30737	0.499897	0	-1.62673	-1.49213	-1.55327	-1.70929	-1.61714	-1.62958
chr1:72000000-72500000	chr1	0.17743	-0.134235	0.373879	1	-1.68284	-1.54673	-1.56548	-1.87042	-1.51823	-1.534
chr1:72500000-73000000	chr1	0.108874	0.33946	0.457759	0	-1.4948	-1.50642	-1.63325	-1.64989	-1.48732	-1.50449
chr1:73000000-73500000	chr1	0.45834	0.382355	0.57903	0	-1.48341	-1.58147	-1.58977	-1.62008	-1.51565	-1.52964
chr1:73500000-74000000	chr1	0.29303	0.441917	0.347791	0	-1.3294	-1.40814	-1.31125	-1.4755	-1.47321	-1.50465
chr1:74000000-74500000	chr1	0.344767	0.364101	0.54573	3	-0.479386	-0.523827	-0.722907	-0.641695	-0.926464	-0.877845
chr1:74500000-75000000	chr1	-0.0757296	1.07886	0.193536	4	-1.45418	-1.51053	-1.45953	-1.62786	-1.35625	-1.29225
chr1:75000000-75500000	chr1	0.264522	0.873304	0.349259	1	-1.54637	-1.69158	-1.48634	-1.62705	-1.60538	-1.57924
chr1:75500000-76000000	chr1	0.0128506	0.674881	0.0993332	5	-1.55392	-1.63942	-1.54992	-1.66636	-1.40183	-1.53269
chr1:76000000-76500000	chr1	0.224569	0.853072	0.0260674	1	-1.28465	-0.98689	-1.19644	-1.16053	-1.25199	-1.19262
chr1:76500000-77000000	chr1	0.35191	0.879706	0.112422	1	-1.30701	-1.49078	-1.51485	-1.48196	-1.56038	-1.43423
chr1:77000000-77500000	chr1	-0.102654	0.103636	-0.1902	2	-1.27693	-1.29079	-1.11135	-1.26245	-1.30399	-1.26224
chr1:77500000-78000000	chr1	0.0815137	-1.02496	0.0884129	5	-0.47299	-0.262817	-0.413547	-0.280478	-0.408645	-0.19751
chr1:78000000-78500000	chr1	0.0223266	-0.181206	0.123981	3	-1.44526	-1.49793	-1.34957	-1.47881	-1.40054	-1.42103
chr1:78500000-79000000	chr1	-0.359813	0.136681	0.0195426	2	-1.50699	-1.56741	-1.42821	-1.57543	-1.47344	-1.59329
chr1:79000000-79500000	chr1	-0.20567	0.122706	0.178389	1	-1.42854	-1.53449	-1.36889	-1.57385	-1.44243	-1.48131
chr1:79500000-80000000	chr1	0.163546	0.124958	0.0967353	0	-1.28546	-1.23301	-1.45854	-1.27162	-1.15935	-1.25978
chr1:80000000-80500000	chr1	0.31885	-0.0434213	-0.0794268	0	-1.29331	-1.39732	-1.38214	-1.5282	-1.3403	-1.43536
chr1:80500000-81000000	chr1	0.349611	-0.0741019	0.0325705	0	-1.52625	-1.4314	-1.4899	-1.45796	-1.4047	-1.57093
chr1:81000000-81500000	chr1	0.0625169	-0.330245	-0.0533292	0	-0.861313	-0.996156	-0.837917	-0.768321	-1.02506	-1.15969
chr1:81500000-82000000	chr1	-0.398224	-0.576656	-0.202023	1	-0.504681	-0.335381	-0.50526	-0.184632	-0.475662	-0.530992
chr1:82000000-82500000	chr1	0.225799	-0.172315	0.153495	0	-0.591626	-0.693888	-0.625058	-0.68336	-0.829509	-0.72634
chr1:82500000-83000000	chr1	0.201309	-0.0514666	0.0674494	0	-0.6734	-0.627024	-0.630971	-0.747568	-0.802848	-0.516605
chr1:83000000-83500000	chr1	0.0555004	0.0982733	-0.0202218	0	-0.896827	-0.653513	-0.750142	-0.608598	-0.556176	-0.577464
chr1:83500000-84000000	chr1	-0.0169846	0.1968	-0.0297042	1	-0.645725	-0.622694	-0.700434	-0.484733	-0.652927	-0.689413
chr1:84000000-84500000	chr1	-0.214102	-0.892433	-0.125881	4	-0.755995	-1.09705	-1.09098	-0.700391	-0.813024	-0.861247
chr1:84500000-85000000	chr1	0.049325	-0.662742	0.0420994	6	-0.433841	-0.454886	-0.592337	-0.191834	-0.166739	-0.451232
chr1:85000000-85500000	chr1	-0.128051	-0.825796	-0.0749417	6	-0.758386	-0.693367	-0.522467	-0.430061	-0.365808	-0.644474
chr1:85500000-86000000	chr1	-0.117742	-0.576376	0.163401	2	-1.32221	-1.55214	-1.52914	-1.57389	-1.17908	-1.46235
chr1:86000000-86500000	chr1	0.0572785	-0.100754	0.125179	4	-1.52094	-1.59899	-1.61146	-1.55812	-1.49291	-1.37463
chr1:86500000-87000000	chr1	0.0359835	-0.445476	-0.0300322	4	-0.923847	-0.857715	-0.757218	-0.737302	-0.568742	-0.776736
chr1:87000000-87500000	chr1	0.161372	0.0432241	-0.0938319	1	-0.12532	0.329153	-0.179701	0.292617	-0.0739433	0.116773
chr1:87500000-88000000	chr1	0.134577	0.0395006	0.232375	0	0.183623	0.607978	0.101552	0.552334	0.0649172	0.415836
chr1:88000000-88500000	chr1	0.169681	0.418635	0.157559	0	-0.208841	0.151189	-0.281155	0.0734278	-0.57768	0.286847
chr1:88500000-89000000	chr1	0.0122418	-0.311277	0.0786103	4	0.099988	0.381111	0.0684064	0.0618695	-0.00131204	0.383452
chr1:89000000-89500000	chr1	0.123507	0.558645	0.261101	7	-0.123687	0.283022	0.0877452	0.366495	-0.401891	0.137081
chr1:89500000-90000000	chr1	-0.166917	-0.248382	-0.10866	5	-0.0401859	0.165508	-0.0885284	0.00680022	0.148827	0.00608915
chr1:90000000-90500000	chr1	0.212453	0.662878	0.265472	0	-1.34366	-1.37703	-1.21559	-1.46276	-1.23292	-1.36082
chr1:90500000-91000000	chr1	0.34673	0.332802	0.0813066	1	-1.00937	-1.07963	-1.07227	-1.10519	-0.949534	-1.159
chr1:91000000-91500000	chr1	0.0497222	0.88801	-0.0287627	2	-1.24797	-1.21075	-1.34528	-1.30737	-1.16097	-1.19962
chr1:91500000-92000000	chr1	0.110334	-0.0869223	-0.227495	3	-0.638814	-0.782108	-0.381278	-0.171004	-0.390901	-0.342802
chr1:92000000-92500000	chr1	-0.233582	-0.101812	-0.274432	7	-1.20679	-1.10238	-0.940315	-0.933224	-0.830159	-0.775798
chr1:92500000-93000000	chr1	-0.00551916	-0.845401	-0.243435	3	-0.52743	-0.537172	-0.488009	-0.101433	-0.33021	-0.023284
chr1:93000000-93500000	chr1	-0.00147781	-1.1741	0.0837183	5	0.0320922	0.20459	0.2293	0.282641	0.574813	0.478787
chr1:93500000-94000000	chr1	0.147352	-0.871799	0.0149895	3	0.30771	0.547717	0.183036	0.611363	0.528597	0.701771
chr1:94000000-94500000	chr1	0.24707	-1.15076	0.197703	3	0.367276	0.5765	0.364821	0.387743	0.595829	0.555559
chr1:94500000-95000000	chr1	-0.138502	-0.739488	-0.158115	3	0.29165	0.155375	0.466502	0.442236	0.577598	0.448006
chr1:95000000-95500000	chr1	0.0449649	0.207063	0.0173744	3	-0.704456	-0.572871	-0.86462	-0.580951	-0.694934	-0.662746
chr1:95500000-96000000	chr1	0.2485	0.647794	0.162741	0	-1.24857	-1.30723	-1.4637	-1.21138	-1.38784	-1.3608
chr1:96000000-96500000	chr1	0.176108	-0.0484731	-0.128162	0	-1.33995	-1.11196	-1.34959	-1.13564	-1.42387	-1.25916
chr1:96500000-97000000	chr1	-0.129077	-0.386235	-0.0584549	1	-1.0769	-1.11126	-0.923771	-0.916081	-1.18883	-0.982486
chr1:97000000-97500000	chr1	-0.11808	-0.346819	0.0277176	0	-1.66114	-1.68299	-1.61394	-1.41297	-1.51261	-1.47559
chr1:97500000-98000000	chr1	-0.0919939	-0.8512	-0.205554	1	-1.49281	-1.61043	-1.60615	-1.81824	-1.52979	-1.6092
chr1:98000000-98500000	chr1	0.0367837	-0.732682	-0.236717	0	-1.55531	-1.70405	-1.54333	-1.6176	-1.52366	-1.59578
chr1:98500000-99000000	chr1	0.19109	0.447089	0.046621	1	-1.73337	-1.76633	-1.68746	-1.86064	-1.58281	-1.64504
chr1:99000000-99500000	chr1	0.0676074	0.497403	-0.030184	2	-1.57319	-1.38206	-1.54374	-1.60575	-1.417	-1.22247
chr1:99500000-100000000	chr1	-0.143955	-0.185333	-0.240114	4	-0.748678	-0.608808	-0.641494	-0.73131	-0.681044	-0.54111
chr1:100000000-100500000	chr1	-0.287237	-0.267334	-0.176672	7	0.117248	0.511322	0.141027	0.313708	0.318948	0.290119
chr1:100500000-101000000	chr1	-0.212708	-0.359041	-0.00754892	4	-0.0148351	-0.058863	0.0917605	0.00104005	-0.0982969	0.0517624
chr1:101000000-101500000	chr1	-0.006132	-0.401377	-0.174384	2	-0.407731	-0.126736	-0.24819	-0.244223	-0.215798	-0.234208
chr1:101500000-102000000	chr1	0.253141	0.537172	0.29437	1	-1.58672	-1.61658	-1.65551	-1.6098	-1.57868	-1.49507
chr1:102000000-102500000	chr1	0.229333	0.468569	0.554477	0	-1.76931	-1.83791	-1.77094	-1.79897	-1.69463	-1.59494
chr1:102500000-103000000	chr1	-0.0527171	-0.101878	0.156243	0	-1.73746	-1.82173	-1.6157	-1.65505	-1.46965	-1.63598
chr1:103000000-103500000	chr1	0.208996	-0.329075	0.321237	1	-1.59293	-1.58809	-1.69086	-1.7262	-1.53105	-1.57196
chr1:103500000-104000000	chr1	0.526967	0.183285	0.53668	6	-1.18677	-1.14483	-1.25268	-1.55401	-1.29797	-1.2098
