anchor	anchor_rna_contrast	balance_baseline_lmnb1	balance_baseline_log2_mean_cpm	balance_log10_transcript_span	balance_log1p_tss_count_1mb	chromosome	control_mean_rna_contrast	controls	matched_difference	maximum_squared_distance	status	tss
ABTB3	0.34473244772762146	-0.24276022100598427	-0.12902910190084094	0.4321888806777838	0.29754854711840173	chr12	-0.13520271451751043	PDE3A;GRIP1;LGR5;CEP83;RNFT2	0.4799351622451319	1.4066784602748263	matched	107318433
ACAP1	0.2679145815684021	-0.4449633639498125	-0.2833738108676007	0.0728556291844264	0.581710544778085	chr17	-0.05005449317600963	ASB16;RAPGEFL1;GSDMB;HOXB6;STAT5A	0.3179690747444117	1.188431958128567	matched	7336528
ACBD4	0.2559781190672905	-0.7285240764939125	0.18734197701108934	0.5138346873167218	-0.1263623600565743	chr17	0.07267034623579921	HOXB6;HOXB9;HOXB7;HOXB8;HOXB4	0.1833077728314913	1.4440398228644344	matched	45135686
ACSL3	-0.13472462628967374	-0.15483826023977132	-0.14466959764842302	0.35571343335978944	-0.37485814374829307	chr2	-0.12317288472388502	ITPRID2;PPP1CB;PDK1;DYNC1I2;XPO1	-0.011551741565788726	0.6084854425805857	matched	222861035
ACTN4	-0.15396304224557866	-0.12996411479307957	0.6344116321555922	0.19230278517481547	-0.025085768721545332	chr19	-0.046279268996742395	SAE1;DNM2;SMARCA4;MAP2K2;ILF3	-0.10768377324883627	0.9149984643749084	matched	38647648
ADAM17	0.20136046431938048	-0.04047011457383043	-0.19431232963213335	-0.20124606024168223	0.025047489580589388	chr2	-0.2839054932745908	PRKD3;HEATR5B;AFTPH;CREB1;STRN	0.4852659575939713	0.43612043310328785	matched	9555829
ADAMTS19	-0.6137779442675155	-0.12147450093132783	-0.06577674221862084	0.28959689169093994	-0.3457468576679037	chr5	-0.1338178542360085	DNAH5;ATG10;PDE8B;SNCAIP;PRDM6	-0.479960090031507	0.8823029016866689	matched	129460297
ADAMTSL1	-0.5983314617875806	-0.21810310080082473	0.22580887413654138	0.3892508759271638	0.026440371174106136	chr9	-0.0489849328703833	NFIB;GLIS3;AOPEP;SHC3;MVB12B	-0.5493465289171973	0.9118825012334867	matched	18474152
ADGRB2	-0.5846397203721434	-0.10527134656020709	0.10735105635306452	0.060662861857515155	0.061055225665356816	chr1	0.09405478120463984	NUCKS1;AHCYL1;PSMA5;LMOD1;TMEM50A	-0.6786945015767832	0.2079361679689896	matched	31764339
ADGRG6	0.1314493002420507	-1.1132648414177426	0.3109179974729231	-0.4840480460697474	-0.45555241462392626	chr6	-0.1236362269108165	ATXN1;REV3L;KIF13A;PTPRK;ATG5	0.2550855271528672	3.359345582067436	matched	142302006
ADGRL3	-0.30172543907274463	1.2136805852235206	-0.1337371504366327	0.6594853578693847	-0.7846869414475353	chr4	-0.3604299825708547	EPHA5;INPP4B;SLIT2;RAB28;TENM3	0.05870454349811005	4.1325032616322055	matched	61200325
ADGRV1	0.26806267562521247	0.22784900255239604	-0.2949570788429594	0.6622136051409826	-0.3457468576679037	chr5	-0.02807888630949229	DNAH5;PDE8B;DOCK2;SNCAIP;ATG10	0.29614156193470476	1.7847195596547856	matched	90558796
ADK	0.30371795109073396	-0.4430620530505469	-0.17233615722236895	0.8794462654280757	0.19408543249213556	chr10	-0.005907538079158503	MCU;HERC4;MICU1;BTRC;PTEN	0.30962548916989246	2.0133539457192584	matched	74151220
ADM	-0.3725229120759659	-1.5511692802336334	0.2626445198902757	-0.23969312087480765	-1.1055432931995828	chr11	0.3709034936552408	LAMTOR1;COA4;ANAPC15;RPS25;H2AX	-0.7434264057312067	5.403826837411792	matched	10305072
AFDN	-0.26987357583389393	-0.010318913745645308	0.0038872545769167433	0.0932871646229716	0.18396858705852648	chr6	-0.2392132430150838	PREP;RANBP9;SNX9;SGK1;CAP2	-0.030660332818810143	0.3315095658417926	matched	167826910
AGAP2	-0.32310809227510573	-0.048057699331355896	-0.009327821447496776	0.01396746975541141	-0.04070207651274793	chr12	-0.022782696330319763	ACVRL1;PRPF40B;TAMALIN;RND1;RHOF	-0.30032539594478597	0.40103002857691517	matched	57738741
AK4	-0.027254839611754456	0.08362069670405736	-0.019879218205063554	0.180787322305908	-0.34381405119401953	chr1	-0.12836343700051867	DESI2;RGS5;STX6;PTGFRN;IGSF3	0.10110859738876421	0.5076866289270292	matched	65148202
ALCAM	0.09934849391474643	-0.8785239046984836	0.3774912779025734	0.2832994912551101	-0.3443793240264825	chr3	-0.09880208246134412	PLOD2;GBE1;TGFBR2;P3H2;TBL1XR1	0.19815057637609054	3.049929297281738	matched	105366908
ALDH7A1	0.6920387892277837	0.057489023860335164	0.19504291251403727	-0.0663089626987855	0.09689326212153415	chr5	-0.06101144968840766	TCERG1;YTHDC2;MTMR12;DCP2;MIER3	0.7530502389161914	0.3944117090525935	matched	126595218
AMBRA1	-0.22750011407575066	-0.28071525510399375	0.09391077771356617	0.3783766931032666	0.19118632560260573	chr11	-0.09351274772721857	C2CD3;SIK3;KMT2A;CBL;PGM2L1	-0.1339873663485321	0.9794671640477806	matched	46594022
AMFR	0.0008871384881219413	-0.04061252925897629	0.08158546775128894	0.17165876236570116	0.10763312007284409	chr16	0.06327721567594739	METTL9;ZNF469;HMOX2;KIFC3;PIEZO1	-0.06239007718782545	0.344419356078275	matched	56425544
ANKDD1A	-0.05407173615849148	0.051125111037009785	-0.21531613215341605	0.10476584170765024	-0.17901691761945215	chr15	0.10854498157700365	PAK6;RAD51;DISP2;GANC;NUSAP1	-0.16261671773549513	0.46687009466604973	matched	64911901
ANKFY1	0.09601937578660724	-0.2757302916569979	-0.06826441201825029	0.21232740422284824	0.18217116374887876	chr17	-0.20685801856008068	CDK12;FOXK2;GPATCH8;ATP6V0A1;IGF2BP1	0.3028773943466879	0.6792136741402104	matched	4263978
ANKRD1	0.10563047107279289	-1.4756428604342564	0.7586910512083171	-0.6911869276833245	-0.04834999212239288	chr10	-0.08572858869861513	ACTA2;BAMBI;ITGB1;VDAC2;KIF5B	0.19135905977140802	4.865812498621825	matched	90921086
ANKRD12	0.060096899715980534	-1.3750277192996987	-0.022243458297339678	0.373427571881193	-0.1654257059314922	chr18	-0.02679834854282115	SPIRE1;RBBP8;MALT1;CEP76;MIB1	0.08689524825880168	4.077567536949785	matched	9136780
ANKRD13A	-0.27942788898768	-0.1160589702700261	0.07086096017184373	0.14202454129370376	-0.23646245187245196	chr12	-0.04292369173906377	PSMD9;VPS33A;ANAPC5;NCKAP5L;RSRC2	-0.23650419724861624	0.5727226931863444	matched	109999429
ANKRD37	-0.05828488582288305	-0.7151711189873564	-0.17586360702904913	-0.6727439542990877	0.32753501653827866	chr4	0.14039389044851922	CXCL2;BBS12;CCNA2;THAP9;AREG	-0.19867877627140226	3.2622907508520496	matched	185396840
ANKRD52	-0.8536886737410914	-0.6427618087960631	0.00084103040645922	-0.16176816320028164	0.6025176884591494	chr12	-0.029470406855942266	TUBA1C;TMBIM6;ANAPC5;NCKAP5L;PCBP2	-0.8242182668851491	1.6835643934546418	matched	56258383
ANP32E	0.17016811047574176	-0.3549836313294761	-0.22384208055239918	0.010276660540228577	0.5040875395801516	chr1	0.10955265821872598	GPN2;NUDC;TRIM63;ADIPOR1;SRSF10	0.060615452257015784	0.8393843951865854	matched	150236111
AP1S3	0.3193716538282665	-0.14114819668259718	-0.12193683422620713	-0.043182539766543515	0.056731676820022114	chr2	0.022014089382339452	ASB3;GPR155;PPP1R21;RIF1;EPC2	0.29735756444592704	0.2575443807291685	matched	223837581
AP3M1	-0.3437839748443281	-0.3900976994887928	-0.005034988404496343	-0.3707193573344111	0.2519366286319681	chr10	-0.1817783267403808	VPS26A;ATAD1;SUPV3L1;DDX21;PTEN	-0.1620056481039473	1.1346848655026707	matched	74150827
APC	-0.20700206352404305	0.07278242598905628	0.13416143722351812	0.026909066308596907	-0.03568623695326556	chr5	-0.04462383486341431	CDC42SE2;SLC12A2;FGF1;BDP1;MTMR12	-0.16237822866062873	0.13710273966961306	matched	112737884
APH1A	0.13373662234898642	-0.47434611788183156	-0.0647203735946299	-0.18335916066127367	0.3986471930567306	chr1	0.05712619635765481	KRTCAP2;HMGN2;PNRC2;SCAMP3;CYB5R1	0.07661042599133161	1.0109145867932572	matched	150269015
APOL3	0.024605191855721742	-0.23017471954723506	-0.0859587450449737	-0.12288092395565842	-0.439896905000594	chr22	0.21229477900807242	SERPIND1;GGT5;CDC45;CBX7;BAIAP2L2	-0.18768958715235068	0.7792038244901782	matched	36160754
ARF3	0.0034965446653387744	-0.283708485105612	0.01291943984261179	-0.14351459807387362	0.05565820453257131	chr12	-0.0008342878602537237	OS9;PCBP2;CHD4;MLEC;MARS1	0.004330832525592498	0.3534608167006374	matched	48957486
ARF6	0.14257712263594957	-0.4928772315612939	-0.16938294127516074	-0.8602766091372097	0.2735713398415279	chr14	0.009370732678698868	GMFB;MAPK1IP1L;CFL2;EIF5;TMX1	0.1332063899572507	1.742480043337356	matched	49893081
ARGLU1	0.047734620016556484	0.27853752217554517	0.37945399898309007	0.0008654588468951299	-0.9255927233423908	chr13	0.013537200157184515	RAP2A;COMMD6;GPR180;UCHL3;ABHD13	0.03419741985937197	1.9990854920482106	matched	106568136
ARHGAP29	-0.32443560126345083	-0.5330831557197993	0.1486929487562494	-0.19367231583022615	0.06866232833387576	chr1	-0.2226838840147291	FUBP1;SMG7;CAMSAP2;PRKACB;NEK7	-0.10175171724872173	1.1418145635781909	matched	94237583
ARHGEF12	-0.364934538733487	-0.5432597880388566	0.08660154993095082	0.3919828173579768	-0.24805441823108998	chr11	-0.14409542175828935	USP47;PPME1;RAB6A;HIPK3;CSTF3	-0.22083911697519767	1.212759958273841	matched	120336412
ARHGEF17	-0.3283852942790766	-0.008012093957321442	0.03327124735400211	0.06933097538064703	0.051729800526081726	chr11	-0.14377447462592113	DLAT;BIRC2;DENND5A;RNF121;CAPRIN1	-0.18461081965315546	0.5862946489882311	matched	73308275
ARID2	-0.2055992351705358	-0.7356007795028965	-0.6322542075502413	0.3694757521596832	-0.2849426245386095	chr12	-0.17062029281166904	EEA1;FGD6;CDK17;MRPL42;ATP2B1	-0.034978942358866755	1.9413992907339241	matched	45729705
ARID3B	-0.3622015057287147	-0.07252619773322921	0.06366161742884036	-0.07547120857097966	0.12948750102137518	chr15	0.02757513454863003	NUSAP1;IGDCC4;GANC;BUB1B;CTDSPL2	-0.3897766402773447	0.510152645860938	matched	74541219
ARL17A	-0.07031796387958522	-0.5972495854102378	0.09819527626174662	-0.1839814733076389	-0.1971496431359591	chr17	0.049969913977273614	CRLF3;POLG2;CEP95;LRRC37A3;RNF135	-0.12028787785685884	1.005107608448069	matched	46579690
ARL2BP	0.2899314970914384	-0.47212816918188527	0.002710991848079103	-0.36493968971226987	-0.33873878355916964	chr16	-0.14976114778181715	EDC4;PLA2G15;SH2B1;CENPT;FBRS	0.43969264487325554	0.9850766745959715	matched	57245258
ARL5B	-0.22461643491228855	-0.10398671235149937	0.2807204215979814	-0.02758802163352414	-0.04865636437708942	chr10	-0.04954028024148957	NRBF2;CISD1;PHYH;ZDHHC6;TRUB1	-0.17507615467079898	0.6081230856126842	matched	18659430
ARL6	-0.25633167715425653	0.20521383825280148	-0.2978189395076519	-0.08992306355594057	0.17023548808099143	chr3	-0.3521244448453243	USF3;ZXDC;DZIP1L;CIP2A;CD200	0.09579276769106776	0.5551093761901745	matched	97764757
ARPP19	-0.07439390977183447	-0.11116596622132557	0.13200570134954126	-0.13293937871910136	-0.05150078642197786	chr15	0.01325076964821452	COPS2;GTF2A2;FEM1B;BNIP2;HEXA	-0.08764467942004898	0.3647469811147442	matched	52569029
ASB5	0.25931074144888033	0.06048189339213822	-0.21045450578697888	-0.49224706292364984	-0.37961483106883076	chr4	0.014161908402544665	LEF1;ZGRF1;ANXA10;ENPEP;LNX1	0.24514883304633567	0.7889327411402907	matched	176269221
ASCC2	-0.10601843889125906	-0.3239595753806277	-0.019465904005877666	0.16132136337737524	-0.1291996934973053	chr22	-0.037827247248512566	RBX1;EIF3L;DDX17;ACO2;EP300	-0.0681911916427465	0.7656370755502085	matched	29838273
ASPM	0.5390863632291008	-0.10755185817440838	-0.26848547754657814	0.05594215025856708	-0.09565007347796062	chr1	-0.21869011569172359	DNAI3;NGF;FRRS1;STUM;OPN3	0.7577764789208243	0.30127714781924875	matched	197146668
ASPN	0.7939531857477711	-0.1526674865804576	-0.28331079861022324	-0.047417706752830024	-0.22259967936982994	chr9	0.1827363859102601	ZNF367;ZBTB26;ANKRD18B;WDR31;TRMT10B	0.611216799837511	0.959861333458626	matched	92482505
ASRGL1	0.6380729977763706	0.35813455053435794	0.2444354241625395	0.437954651154053	-0.08753175417719028	chr11	0.2146127501778018	MPZL3;CCDC88B;CDC42BPG;SYT12;NRXN2	0.4234602475985688	1.2887096483514369	matched	62337447
ASXL1	-0.11702142394624815	-0.04106511144630187	0.026097186338831846	0.3552344128635662	0.13939012789753802	chr20	-0.018288310832400262	DIDO1;ACSS2;UQCC1;CPNE1;EDEM2	-0.09873311311384789	0.693102707226856	matched	32358330
ASXL2	-0.3773843112186892	0.06487545477068224	-0.2476021017423211	0.3583535960321287	0.2779572616223939	chr2	-0.22063052178041218	HEATR5B;STRN;ALS2;PRKD3;CREB1	-0.15675378943827703	0.5321815798998643	matched	25878486
ATF2	-0.23604655260474505	0.14973073432193473	-0.07727091078846487	0.04443736133826337	0.15447078241209636	chr2	-0.22063052178041218	HEATR5B;PRKD3;ALS2;STRN;CREB1	-0.015416030824332877	0.35061657717789346	matched	175168202
ATG13	-0.04822341588746948	0.017982118494794364	0.0440619885441742	-0.12308118717965821	0.15391004161690747	chr11	-0.05493322305631665	RAB6A;ARCN1;PPME1;PGM2L1;KMT2A	0.0067098071688471705	0.8966435452061635	matched	46617552
ATP5F1B	0.011913601604458535	0.05282681711199677	0.2055069455880405	0.10901504960377972	0.5657910691616455	chr12	0.05399199197143752	TUBA1C;PTMS;GAPDH;TUBA1B;TMBIM6	-0.04207839036697898	1.633622323606137	matched	56645983
ATP5IF1	0.40211079359017976	-0.2682069710660733	-0.005077379630956891	-0.625803885687154	0.07028740256175314	chr1	0.11727271615952384	LYPLA2;CYB5R1;PNRC2;HMGN2;RPL11	0.2848380774306559	1.1846836275984227	matched	28236123
ATP5MC3	0.2166097974160035	-0.4419678166561132	0.27366128910332965	-0.3173428345798823	0.2757549574684889	chr2	0.18987722530991977	PTMA;RPS27A;CALM2;SSB;HNRNPA3	0.026732572106083735	1.4442683723303	matched	175181709
ATP6V1E1	0.1409762143752742	-0.29735489496577816	0.16951462174733156	0.044262783033436615	-0.4454164491035691	chr22	0.06086235796757791	KIAA0930;SGSM3;AP1B1;EIF3D;ADSL	0.08011385640769628	0.8609680084634257	matched	17628748
ATXN2L	-0.2587014393508653	-0.14031130365900213	-0.06412470361438971	-0.16233623762114313	-0.3537792150547374	chr16	0.08862301260351091	PLA2G15;NQO1;CENPT;EDC4;NAE1	-0.3473244519543762	0.6099475162112099	matched	28822998
AZI2	-0.3335004995191406	0.03294471846693581	-0.17855026229638157	-0.04767185307979527	-0.3671882910007158	chr3	-0.06874913112461911	PLSCR1;SLC33A1;NPHP3;DCUN1D1;ASTE1	-0.2647513683945215	0.5818073089040432	matched	28348823
B3GALT4	0.2681602636387579	-0.5494954356134918	0.0466636302985558	-0.4160715696722552	-0.4372648978051633	chr6	0.12825830330396712	LRRC73;FKBPL;NRM;ATP6V1G2;PRR3	0.13990196033479077	1.2210667584127692	matched	33277122
B3GLCT	0.37880632536488257	0.06365709786094165	-0.09836455948293998	-0.21660920293064123	0.04114322862214681	chr13	-0.14177030363499488	LRCH1;PDS5B;MIPEP;STARD13;PAN3	0.5205766289998774	0.4146666859282081	matched	31199974
BACH2	0.40014190494347224	-0.0023656482164026715	-0.08842101691386794	0.12940639724971126	0.295615880733477	chr6	0.040229047000700735	UST;RUNX2;AHI1;PDE7B;SUPT3H	0.3599128579427715	0.7536770500285392	matched	90296842
BAZ2A	-0.20486785096508253	-0.46906020513479685	0.11503844579052824	0.20635234081573522	0.4359009695470315	chr12	-0.1422886578119801	SP1;NCKAP5L;ACVR1B;AAAS;SPRYD3	-0.06257919315310242	0.9585861390500933	matched	56630325
BAZ2B	-0.16354680235371433	-0.41450447348418185	-0.10329017106154682	0.37751803365119496	-0.40084764492252223	chr2	-0.07079657770355725	MAP3K20;METTL8;STRN;HEATR5B;EXOC6B	-0.09275022465015707	1.3667796819646374	matched	159616547
BBIP1	0.06862209981695688	-0.7831924047939731	0.30517321243452944	-0.2717479009376433	-0.39753900804415043	chr10	-0.015374810786495455	EPC1;SKIDA1;NUDT13;MSS51;MYPN	0.08399691060345234	2.6089052396957113	matched	110919179
BBS10	-0.0647779134054991	-0.2431403934762576	-0.29302065698369956	-0.29459075114182953	-0.15231195135843423	chr12	-0.03790063056451345	SOCS2;UQCC6;ETFRF1;MTERF2;LRRC10	-0.02687728284098565	1.1549487897221085	matched	76348414
BCAS3	-0.3262458754108093	0.010873716851843795	-0.2387210245335216	0.5794678843465924	-0.0658894815036386	chr17	-0.09983748507048418	PITPNC1;TANC2;ACACA;CEP112;BPTF	-0.22640839034032512	1.7221236817350214	matched	60677850
BCHE	0.43524863711633	0.10856624655554126	-0.6881116788573879	-0.2105957649113004	-0.6109642137505886	chr3	-0.20723813031681737	PLSCR4;EIF4E3;VGLL3;STAC;RARB	0.6424867674331474	1.8677565645370016	matched	165837422
BCL2L13	-0.25294840077018765	-0.3389150022202047	-0.2682062168457452	-0.004374717849790821	-0.37669761407226016	chr22	-0.04993008426812082	PACSIN2;MAPK1;ARFGAP3;SPECC1L;KIAA0930	-0.20301831650206684	0.7557486151722619	matched	17638756
BCO2	0.10241038290284354	-0.02291172934401553	-0.13312065996400163	-0.4254948279969056	0.16942028020333144	chr11	0.021961930609276606	PAAF1;ZNF143;MRPL48;MAP6;XRRA1	0.08044845229356694	0.6620996535310232	matched	112175511
BIRC6	-0.2625729394652838	-0.4080393617388638	0.01105605124153608	0.18280077793788352	-0.09143627045265257	chr2	-0.10353090897650646	MAP3K20;STRN;RBMS1;TANC1;UBR3	-0.15904203048877735	0.8125377192061353	matched	32357022
BLTP3A	-0.18719990317510415	-0.38793025477500476	-0.2228239840870645	0.27783663333692965	0.013239061714168332	chr6	-0.12815770677095806	PPIL4;LATS1;CDC5L;SRPK1;STK38	-0.0590421964041461	0.8186560402751358	matched	34792082
BMP5	0.02520649012632159	-0.7784620179978368	0.44344749097265	-0.6350276922416132	-0.4160414955940397	chr6	-0.20670237199179872	ATXN1;KIF13A;QKI;REV3L;PTPRK	0.2319088621181203	2.7235198517592254	matched	55875589
BNIP3L	0.07198800884967671	-0.26411022479546353	0.07179586556683837	-0.0543539189076377	0.05271957258473947	chr8	-0.17616190456123312	AZIN1;RRM2B;DERL1;PPP2CB;FZD6	0.24814991341090983	0.44116096962122364	matched	26383053
BOD1	0.05664349055354023	0.004487058913060338	-0.0918109302969442	-0.11857269517623181	-0.12182084944076976	chr5	0.12008860308922778	GPX8;NSA2;KGD4;BTF3;UBE2B	-0.06344511253568755	0.8559660048187429	matched	173616649
BOK	0.03552836848497343	0.038936095106558655	0.17620602569311383	0.0053314763971365475	-0.030907590012606567	chr2	0.05701349003540308	TMBIM1;SLC4A3;MRPL35;GGCX;SSB	-0.021485121550429656	0.40637390570385645	matched	241558744
BORA	0.005690233369358921	0.09592749097979858	0.08589641200844977	-0.13895201301676047	-0.6718582081802014	chr13	0.26411946848227325	ALOX5AP;FGF9;SERP2;SKA3;BRCA2	-0.2584292351129143	1.2176198250405978	matched	72727922
BRINP3	-0.1325086428588389	0.7536829715610672	-0.7393345880111901	0.04693345974811636	-1.0654204421323348	chr1	-0.1321222824251449	LRRC7;NEGR1;HOOK1;LEPR;DPYD	-0.00038636043369399964	5.213693662848948	matched	190477863
BRPF3	-0.4654242013332963	-0.18449085506905288	0.16995023588026503	0.0688839512417539	-0.11777272857774557	chr6	-0.14507914568852043	TFEB;ABCC10;PPP2R5D;RNF8;TJAP1	-0.3203450556447759	0.4977117232905067	matched	36196743
BSN	0.1380434842781446	-0.6126344008293025	-0.50003125787682	0.522733130462011	0.7864374213788082	chr3	0.17619317057194744	IRAK2;LRRC2;FANCD2;ZNF589;POC1A	-0.03814968629380283	2.177612592968507	matched	49554476
BTBD1	-0.21458465499379997	0.09661691859776406	0.194785090677149	0.01382585175712664	0.03001053430711087	chr15	-0.09314251204329942	MAPK6;HEXA;ETFA;IREB2;BNIP2	-0.12144214295050056	0.40947548545343626	matched	83067251
BTF3L4	0.061730928009930075	-0.04144518418574972	0.03652255035274121	0.04203698927442537	-0.24794029241084287	chr1	0.07256940458874013	LIX1L;SRRM1;NMNAT1;RCC1;ZMPSTE24	-0.010838476578810055	0.2650018766710462	matched	52056294
BTN2A2	-0.18774524849340235	-0.6108687944129116	-0.274830464866169	0.021000802564322463	-0.25455301926167206	chr6	-0.037151497262272126	PSMB9;TAP2;LSM2;MICB;TRIM27	-0.15059375123113022	1.4442985681555842	matched	26383107
BTN3A2	-0.2132946305264669	-1.5171047829601547	-0.34861394322529476	0.3297127928376471	-0.1339304284694034	chr6	-0.04637369179195669	PSMB9;TRIM27;TAP1;TAP2;PSMB8	-0.16692093873451022	3.8277238926753565	matched	26365197
BYSL	0.004229954484828546	-0.3056335219841475	-0.25053588006239663	0.05417971518214171	-0.18995977276355558	chr6	-0.03805407971010748	TRIM27;GTPBP2;PIM1;GNL1;CNPY3	0.042284034194936024	0.7425072518774949	matched	41921498
BZW1	-0.12132328177391205	-0.41765354830438506	0.3636039909174077	-0.3642304576239781	-0.009801160517270396	chr2	-0.0828877799300077	PCYOX1;FOSL2;TIA1;SEPTIN2;SNRNP27	-0.038435501843904346	1.4203308058361794	matched	200811909
C11orf91	0.1784671081787943	-0.5712649130453726	-0.2147366318274695	-0.44208295870323155	-0.4431503721316781	chr11	0.05135912232343515	LIPT2;IL18BP;B3GNT6;FDXACB1;FOLR1	0.12710798585535915	1.4262351619393812	matched	33700825
C15orf39	-0.5017665955600155	-0.23535499462479703	0.021279223540118103	-0.21150380878119246	0.06322126647161841	chr15	-0.04896468213897742	CDAN1;KNSTRN;NDUFAF1;PDCD7;CCNDBP1	-0.45280191342103804	0.44363383916903515	matched	75201881
C15orf40	0.40328457456096745	-0.16322883748998837	0.1572747010059432	-0.2881901246949059	-0.04921327932968106	chr15	0.0333960527035429	TIPIN;DNAJA4;LCTL;ZWILCH;CHRNA5	0.36988852185742455	0.6519136954712238	matched	83011638
C15orf61	-0.06398062061393484	-0.5082527982331768	0.01275106742761345	-0.3598437868483253	-0.07233744263349595	chr15	0.3017765851200164	SENP8;APH1B;PCLAF;WDR73;NMB	-0.36575720573395126	1.580078731591364	matched	67521130
C1orf54	0.18164675348754944	-0.7050628490694755	-0.07169327509700874	-0.15165296851939913	0.0992093026685843	chr1	-0.36094734601919987	HCN3;PDIK1L;EFNA3;TRIM46;EFNA4	0.5425940995067493	1.1051464219277674	matched	150272789
C3orf52	0.6812437317244999	-0.1009128626243562	0.1878541048093369	0.20186130201356764	-0.04431534529310818	chr3	0.12477515519836135	LIPH;MIX23;TBCCD1;B3GNT5;RPL39L	0.5564685765261386	0.3098559924407655	matched	112086388
C3orf62	-0.02353769543999329	-0.5719666037140955	-0.010271956369861779	-0.04325452160540899	0.3801099271828968	chr3	0.0425262524611659	LSMEM2;PPM1M;HYAL3;GLYCTK;ZNF589	-0.06606394790115919	1.1006147530254466	matched	49277231
C5orf15	-0.6031540480568678	-0.14079642921384272	0.14858212540529692	0.05311878702935513	0.13098861449495716	chr5	0.12956220797639806	STING1;HNRNPH1;ATOX1;NSA2;F2R	-0.7327162560332658	0.6541483049236815	matched	133968624
C5orf46	0.1548055836909814	0.04775918183190608	-0.009870844837944037	0.052935937422582624	0.20856843022187593	chr5	0.10836060105960943	CRHBP;BRIX1;AK6;RAD1;CCNB1	0.04644498263137198	0.151141974249086	matched	147906537
C5orf63	0.14922713970544255	-0.03294065328978124	-0.09111135383003766	-0.12954922661267393	-0.11926750834580924	chr5	0.14241564707368837	C1QTNF2;MARVELD2;C5orf34;PTGER4;THBS4	0.006811492631754179	0.6565251972161187	matched	127073501
C6orf89	-0.2962868771669793	-0.04853301823428735	0.3294322071164376	0.07292448173182514	0.007200122619153482	chr6	0.02023625449170119	PCMT1;CDC5L;TRIM27;GINM1;POLH	-0.3165231316586805	0.7923951145949311	matched	36885951
C8orf88	0.1440796501749131	-0.12997576042821823	-0.28584026976890686	0.16912336326915436	-0.26156838473191324	chr8	-0.020483214880380712	MED30;CIBAR1;NTAQ1;PLEKHF2;RBM12B	0.1645628650552938	0.6897819688875426	matched	90985237
CAMK2G	-0.19726079539704688	-0.01020904198819661	0.0062187258468122675	0.1344687211126686	0.11812591179910709	chr10	0.13918983100499654	DDX50;CCAR1;VPS26A;ERLIN1;SGPL1	-0.33645062640204343	0.3039669660778856	matched	73874554
