tile_id	chrom	dlam_mCh	siScr_mCh	dlam_DNK	tss_count	pc1_GSM9401860	pc1_GSM9401861	pc1_GSM9401862	pc1_GSM9401863
chr1:58000000-58500000	chr1	0.219517	0.75002	0.052652	0	-1.03103	-1.07516	-0.971541	-1.06015
chr1:58500000-59000000	chr1	0.318746	0.503496	-0.021348	0	-0.528498	-0.350638	-0.227814	-0.421803
chr1:59000000-59500000	chr1	0.097688	-0.642895	-0.418727	4	0.182254	0.241676	0.312039	0.497235
chr1:59500000-60000000	chr1	0.090258	-0.665993	-0.217328	1	-0.282332	-0.311221	-0.145764	0.0429287
chr1:60000000-60500000	chr1	0.038308	-0.049325	0.057898	2	-0.894589	-0.965858	-0.902676	-0.858214
chr1:60500000-61000000	chr1	0.483708	0.37316	0.27255	1	-1.37782	-1.41683	-1.44811	-1.53653
chr1:61000000-61500000	chr1	0.247559	0.730446	0.193646	0	-1.29022	-1.40766	-1.34512	-1.35593
chr1:61500000-62000000	chr1	0.263483	0.081577	0.263772	1	-1.29455	-1.30146	-1.33812	-1.24327
chr1:62000000-62500000	chr1	-0.016047	0.370449	-0.11717	2	-0.952222	-1.04551	-1.08494	-0.802153
chr1:62500000-63000000	chr1	0.002788	0.01438	-0.238874	3	-0.421363	-0.680867	-0.534688	-0.475795
chr1:63000000-63500000	chr1	-0.123188	-0.058857	0.16683	3	0.191984	0.109254	0.0956915	0.320661
chr1:63500000-64000000	chr1	0.09132	0.289912	0.055538	4	-0.583457	-0.550113	-0.638612	-0.482182
chr1:64000000-64500000	chr1	0.133779	-0.80006	-0.291317	2	-0.581503	-0.551441	-0.479374	-0.404402
chr1:64500000-65000000	chr1	-0.004463	-0.524208	-0.509658	2	-0.952551	-1.07483	-0.906235	-0.865758
chr1:65000000-65500000	chr1	0.180889	-0.534142	-0.169189	2	-0.883381	-0.908856	-1.04948	-0.751321
chr1:65500000-66000000	chr1	0.160602	-0.078761	-0.097091	3	-0.83711	-0.918549	-0.99217	-0.945815
chr1:66000000-66500000	chr1	0.099065	0.109732	0.151436	1	-1.49668	-1.5236	-1.43187	-1.29175
chr1:66500000-67000000	chr1	0.154655	-0.403955	0.112337	1	-0.596238	-0.663708	-0.744078	-0.525005
chr1:67000000-67500000	chr1	0.090579	-0.894793	0.13727	4	-0.960334	-0.85728	-0.904473	-0.869099
chr1:67500000-68000000	chr1	0.027876	-0.598653	-0.23509	5	0.0567342	-0.060869	0.0317068	-0.0371731
chr1:68000000-68500000	chr1	0.112156	-0.838082	-0.144354	2	-0.983268	-0.850808	-1.08266	-1.05725
chr1:68500000-69000000	chr1	0.105375	-0.746055	0.082858	4	-1.44374	-1.382	-1.42882	-1.3611
chr1:69000000-69500000	chr1	0.122041	0.49606	0.005018	0	-1.53133	-1.55349	-1.49112	-1.56856
chr1:69500000-70000000	chr1	0.10456	0.201387	0.223568	0	-1.55288	-1.54995	-1.56772	-1.51931
chr1:70000000-70500000	chr1	0.090207	-0.129216	0.032908	1	-1.51789	-1.56537	-1.53424	-1.38237
chr1:70500000-71000000	chr1	0.185497	-0.678344	0.034289	4	-0.240207	-0.230659	-0.279443	-0.33599
chr1:71000000-71500000	chr1	0.451292	0.853579	0.142514	0	-1.50465	-1.44673	-1.54139	-1.50684
chr1:71500000-72000000	chr1	0.256768	0.894734	0.223577	2	-1.5018	-1.4829	-1.52543	-1.43249
chr1:72000000-72500000	chr1	0.201104	0.259173	0.481664	0	-1.52384	-1.57497	-1.58539	-1.52089
chr1:72500000-73000000	chr1	0.136034	-0.070428	0.380172	1	-1.52393	-1.25436	-1.44334	-1.37307
chr1:73000000-73500000	chr1	0.156536	0.330264	0.458744	0	-0.84485	-1.10587	-1.55609	-1.5219
chr1:73500000-74000000	chr1	0.489754	0.353	0.608894	0	-1.46267	-1.46906	-1.57494	-1.43566
chr1:74000000-74500000	chr1	0.271058	0.447071	0.318323	0	-1.53066	-1.54842	-1.57219	-1.51541
chr1:74500000-75000000	chr1	0.319247	0.407965	0.499153	4	-1.41879	-1.38835	-1.38985	-1.39087
chr1:75000000-75500000	chr1	-0.082659	1.08416	0.211366	3	-1.28747	-1.30935	-1.31174	-1.22148
chr1:75500000-76000000	chr1	0.292265	0.845218	0.350625	1	-1.44269	-1.45881	-1.52525	-1.4964
chr1:76000000-76500000	chr1	0.010256	0.636926	0.108726	5	-0.792484	-0.759235	-0.903077	-0.652575
chr1:76500000-77000000	chr1	0.242793	0.912159	-0.001356	1	-1.34415	-1.42584	-1.47965	-1.42626
chr1:77000000-77500000	chr1	0.32628	0.848555	0.118759	1	-1.41436	-1.39821	-1.49854	-1.47554
chr1:77500000-78000000	chr1	-0.096254	0.059587	-0.190658	2	-1.09511	-1.14933	-1.24303	-1.11227
chr1:78000000-78500000	chr1	0.07491	-1.10026	0.113125	6	0.241554	0.254165	0.28215	0.268131
chr1:78500000-79000000	chr1	-0.00832	-0.069385	0.120336	2	-1.27938	-1.33522	-1.3738	-1.25476
chr1:79000000-79500000	chr1	-0.36752	0.119121	0.002423	3	-1.51535	-1.49737	-1.49599	-1.50836
chr1:79500000-80000000	chr1	-0.192412	0.167763	0.199766	0	-1.41434	-1.43314	-1.41554	-1.3867
chr1:80000000-80500000	chr1	0.210073	0.056075	0.102923	0	-1.43604	-1.52786	-1.54062	-1.46545
chr1:80500000-81000000	chr1	0.31767	-0.074337	-0.119787	0	-1.32191	-1.55714	-1.5318	-1.42246
chr1:81000000-81500000	chr1	0.333159	-0.031217	0.039929	0	-1.56963	-1.50319	-1.5298	-1.54061
chr1:81500000-82000000	chr1	0.036738	-0.345909	-0.098659	0	-1.51207	-1.56542	-1.52672	-1.54936
chr1:82000000-82500000	chr1	-0.362823	-0.574999	-0.132895	1	-1.40637	-1.34425	-1.4907	-1.20434
chr1:82500000-83000000	chr1	0.214676	-0.148161	0.179314	0	-1.32161	-1.40162	-1.28387	-1.087
chr1:83000000-83500000	chr1	0.207947	-0.072232	-0.009891	0	-1.52136	-1.53563	-1.46079	-1.30708
chr1:83500000-84000000	chr1	0.044371	0.148238	0.003538	0	-0.560477	-0.665908	-0.508272	-0.528055
chr1:84000000-84500000	chr1	-0.016286	0.1146	-0.044409	1	-1.0918	-0.993325	-1.37022	-1.26535
chr1:84500000-85000000	chr1	-0.271836	-0.901905	-0.112384	6	-1.05117	-1.09083	-1.20305	-1.04637
chr1:85000000-85500000	chr1	0.066415	-0.624479	0.075318	4	-0.0886515	-0.129532	-0.273277	-0.276375
chr1:85500000-86000000	chr1	-0.093382	-0.864892	-0.100041	6	-0.650692	-0.642514	-0.781603	-0.869753
chr1:86000000-86500000	chr1	-0.110988	-0.535378	0.151293	2	-0.313807	-0.232765	-0.436713	-0.388379
chr1:86500000-87000000	chr1	0.048004	-0.07198	0.13785	4	-0.998326	-0.978674	-1.08327	-0.698339
chr1:87000000-87500000	chr1	0.05818	-0.490208	-0.04876	4	-0.213058	-0.207862	-0.349801	-0.203307
chr1:87500000-88000000	chr1	0.162868	0.095509	-0.098042	1	-0.493326	-0.416041	-0.357552	-0.452331
chr1:88000000-88500000	chr1	0.119121	0.026351	0.234609	0	-1.34766	-1.36017	-1.23934	-1.20094
chr1:88500000-89000000	chr1	0.21363	0.443859	0.200538	0	-1.5084	-1.54149	-1.59736	-1.49993
chr1:89000000-89500000	chr1	-0.067675	-0.330414	0.063569	4	-0.0794991	-0.198458	-0.239345	-0.134994
chr1:89500000-90000000	chr1	0.168964	0.543225	0.23971	7	0.25055	0.26525	0.402345	0.251848
chr1:90000000-90500000	chr1	-0.205631	-0.252524	-0.087428	4	0.601796	0.596615	0.506316	0.450705
chr1:90500000-91000000	chr1	0.246748	0.729026	0.277966	0	0.188207	0.160245	0.39395	0.322252
chr1:91000000-91500000	chr1	0.354243	0.273265	0.065432	2	-0.314104	-0.367527	-0.217355	-0.0549587
chr1:91500000-92000000	chr1	0.026803	0.892679	-0.032555	2	-0.721516	-0.839497	-0.83651	-0.767686
chr1:92000000-92500000	chr1	0.102754	-0.082957	-0.238072	3	-0.848993	-0.82172	-1.0279	-0.967333
chr1:92500000-93000000	chr1	-0.218686	-0.14593	-0.287904	6	-0.503892	-0.655709	-0.582932	-0.62429
chr1:93000000-93500000	chr1	-0.008065	-0.865199	-0.232025	3	0.215198	0.279607	0.13757	0.572308
chr1:93500000-94000000	chr1	0.013052	-1.18688	0.091489	5	0.393488	0.479268	0.392358	0.399974
chr1:94000000-94500000	chr1	0.142903	-0.83391	0.014578	3	-0.38299	-0.285247	-0.434664	-0.329848
chr1:94500000-95000000	chr1	0.241402	-1.17675	0.212437	3	-1.16162	-1.19683	-1.29997	-1.25935
chr1:95000000-95500000	chr1	-0.140586	-0.733815	-0.179987	3	-1.24176	-1.33018	-1.26634	-1.09351
chr1:95500000-96000000	chr1	0.048433	0.328668	0.036017	3	-1.47569	-1.52008	-1.55937	-1.47272
chr1:96000000-96500000	chr1	0.246103	0.619123	0.154292	0	-1.58821	-1.55811	-1.59292	-1.58592
chr1:96500000-97000000	chr1	0.198385	-0.107976	-0.127087	0	-1.61366	-1.58549	-1.61113	-1.53467
chr1:97000000-97500000	chr1	-0.181665	-0.365504	-0.090396	1	-1.3074	-1.36949	-1.40662	-1.31544
chr1:97500000-98000000	chr1	-0.080758	-0.387276	0.05843	0	-0.909298	-0.972917	-1.36813	-1.1801
chr1:98000000-98500000	chr1	-0.111012	-0.889732	-0.195888	1	-0.935478	-0.964336	-1.23755	-1.27569
chr1:98500000-99000000	chr1	0.090392	-0.685994	-0.23448	0	-1.49003	-1.52236	-1.50631	-1.50006
chr1:99000000-99500000	chr1	0.160939	0.52315	0.023984	2	-1.48566	-1.47327	-1.49226	-1.30702
chr1:99500000-100000000	chr1	0.037249	0.444125	-0.076874	1	-1.5067	-1.49438	-1.51458	-1.38827
chr1:100000000-100500000	chr1	-0.127842	-0.229539	-0.183844	4	-0.00411395	-0.260114	0.0327543	-0.0322137
chr1:100500000-101000000	chr1	-0.294733	-0.211198	-0.201027	7	0.681179	0.60367	0.662242	0.739439
chr1:101000000-101500000	chr1	-0.211695	-0.411365	-0.008289	5	0.173062	0.181968	0.141826	0.240372
chr1:101500000-102000000	chr1	0.010715	-0.321317	-0.117713	1	0.256923	0.147418	0.276821	0.133937
chr1:102000000-102500000	chr1	0.278085	0.549085	0.315102	1	-1.53824	-1.54495	-1.50853	-1.52835
chr1:102500000-103000000	chr1	0.214008	0.433339	0.522136	0	-1.60152	-1.52563	-1.59113	-1.56363
chr1:103000000-103500000	chr1	-0.073972	-0.159355	0.14421	0	-1.57218	-1.56958	-1.59885	-1.57288
chr1:103500000-104000000	chr1	0.236404	-0.336732	0.349986	1	-1.41065	-1.41865	-1.39289	-1.45177
chr1:104000000-104500000	chr1	0.449272	0.121485	0.524872	6	-1.20763	-1.22838	-1.20163	-1.20185
chr1:104500000-105000000	chr1	0.113008	0.605045	0.432089	0	-1.53476	-1.52686	-1.53104	-1.56781
chr1:105000000-105500000	chr1	0.379856	0.343903	0.323945	0	-1.22851	-1.09623	-1.08337	-1.0941
chr1:105500000-106000000	chr1	0.187179	0.29774	0.861106	0	-1.443	-1.45003	-1.34969	-1.35405
chr1:106000000-106500000	chr1	0.066773	0.313383	0.781752	0	-1.5209	-1.55226	-1.52226	-1.56996
chr1:106500000-107000000	chr1	0.189832	0.6663	0.567979	0	-1.5237	-1.53583	-1.56727	-1.52878
chr1:107000000-107500000	chr1	0.130722	0.722189	0.247601	0	-1.57147	-1.49831	-1.55853	-1.48092
chr1:107500000-108000000	chr1	0.102068	0.712353	0.204758	2	-1.29023	-1.22841	-1.31124	-1.19072
chr1:108000000-108500000	chr1	-0.016038	0.857441	0.134542	0	-0.336935	-0.379866	-0.336033	-0.297294
chr1:108500000-109000000	chr1	-0.17823	0.749317	-0.057245	4	-0.227467	-0.220669	-0.238009	-0.325809
chr1:109000000-109500000	chr1	-0.107683	-0.237777	0.10066	7	0.649201	0.611177	0.592617	0.492005
chr1:109500000-110000000	chr1	-0.299962	-0.617991	-0.128878	12	1.19646	1.22048	1.18129	1.25277
chr1:110000000-110500000	chr1	-0.048034	-0.623317	-0.136773	15	1.29435	1.3514	1.29014	1.29757
chr1:110500000-111000000	chr1	-0.214183	-0.088798	0.077894	10	1.31349	1.30517	1.25656	1.40944
chr1:111000000-111500000	chr1	0.233213	0.841618	0.053827	4	1.03203	1.11809	0.995681	1.32403
chr1:111500000-112000000	chr1	-0.041334	0.61255	-0.086966	10	1.23345	1.32066	1.15428	1.18461
chr1:112000000-112500000	chr1	-0.042073	0.0968	-0.074918	5	1.20824	1.14361	1.00792	1.16316
chr1:112500000-113000000	chr1	0.117011	0.496799	-0.168312	2	0.384948	0.390598	0.174033	0.331866
chr1:113000000-113500000	chr1	0.040077	-0.752013	-0.155673	8	1.11353	0.964204	0.984737	1.15771
chr1:113500000-114000000	chr1	0.111066	-0.449141	-0.076614	2	0.108392	0.0901689	-0.0165848	0.122592
chr1:114000000-114500000	chr1	-0.035949	-0.738601	-0.441761	7	0.78751	0.74219	0.737025	0.771903
chr1:114500000-115000000	chr1	-0.44085	0.474516	-0.337713	2	0.254083	0.283479	0.454207	0.5387
chr1:115000000-115500000	chr1	-0.129058	-0.228699	-0.119369	8	0.553496	0.630267	0.606498	0.422096
chr1:115500000-116000000	chr1	-0.243571	-0.225099	-0.213625	3	-0.719161	-0.627979	-0.726519	-0.600733
chr1:116000000-116500000	chr1	-0.216336	0.218655	-0.232453	3	-0.508185	-0.35872	-0.537575	-0.573982
chr1:116500000-117000000	chr1	-0.168626	0.182305	-0.145887	3	0.195861	0.357417	0.353722	0.466633
chr1:117000000-117500000	chr1	-0.019697	-0.181428	-0.129186	4	0.904034	0.941505	0.817952	0.909098
chr1:117500000-118000000	chr1	-0.052939	-0.334719	-0.017941	5	0.344114	0.403941	0.311549	0.333501
chr1:118000000-118500000	chr1	-0.375041	0.179759	-0.004912	3	-0.240667	-0.320085	-0.286921	-0.100459
chr1:118500000-119000000	chr1	0.223437	0.643492	0.432171	1	-1.29404	-1.31673	-1.22976	-1.28664
chr1:119000000-119500000	chr1	0.319834	0.820021	0.330069	0	-1.36246	-1.40772	-1.36583	-1.18797
chr1:119500000-120000000	chr1	-0.110454	0.739132	-0.149249	4	-0.906226	-0.816768	-0.862367	-0.882672
chr1:120000000-120500000	chr1	-0.043681	-0.224667	-0.067962	6	-0.679569	-0.689224	-0.6199	-0.593244
chr1:121000000-121500000	chr1	0.206132	0.151607	0.337624	1	-0.670876	-0.617616	-0.576131	-0.768096
chr1:143500000-144000000	chr1	0.086184	-0.668276	-0.080639	1	0.162034	0.200039	0.182121	0.347557
chr1:144000000-144500000	chr1	0.16617	-0.709889	0.053017	1	0.164324	0.135345	0.139983	0.135754
chr1:144500000-145000000	chr1	0.137989	-0.989241	0.006227	1	-0.0270946	-0.0230083	0.028507	0.0012497
chr1:145000000-145500000	chr1	0.15875	-1.12563	0.063586	8	0.0669756	0.0973846	0.0618395	0.0972802
chr1:145500000-146000000	chr1	-0.06578	-0.732145	-0.466871	11	1.12344	1.0279	1.04365	1.14678
chr1:146000000-146500000	chr1	-0.236559	0.023143	-0.416293	2	0.46873	0.255387	0.365066	0.289976
chr1:146500000-147000000	chr1	-0.028399	0.458818	-0.087024	3	0.351217	0.348175	0.437664	0.512771
chr1:147000000-147500000	chr1	-0.23763	0.399469	-0.169618	6	0.287612	0.403857	0.415513	0.50307
chr1:147500000-148000000	chr1	-0.322032	-0.385536	-0.180163	2	0.221878	0.209641	0.142315	0.233335
