tile_id	chrom	start	siScr_mCh	dlam_mCh	siScr_DNK	dlam_DNK	tss_count	pc1_cm_base	dpc1_cm_r225x	pc1_lcl_base	dpc1_lcl_ko	lfc_ipsc_silmna	n_genes_ipsc	lfc_cm_h222p	n_genes_cm	cpg_n	gap_frac	giemsa	arm_pos	gc
chr1:5000000-5500000	chr1	5000000	1.22285	0.215215	0.871343	0.323434	0	-1.40003	0.168067	0.0616088	0.121379	nan	0	nan	0	0	0	0.25	0.956861	0.4521
chr1:5500000-6000000	chr1	5500000	1.03878	0.149292	0.877512	0.0934553	1	-0.937249	0.21501	0.306172	0.0547758	nan	1	nan	1	5	0	0	0.952753	0.495073
chr1:6000000-6500000	chr1	6000000	-0.0959762	-0.279137	-0.362766	0.0491759	12	0.850699	-0.0693613	1.12843	-0.0446579	-0.134313	11	-0.0450601	9	35	0	0	0.948644	0.550953
chr1:6500000-7000000	chr1	6500000	-0.595566	-0.114648	-0.895534	0.0731998	8	1.04998	0.0277748	1.26666	-0.00352826	-0.0102393	7	0.126886	7	10	0	0	0.944536	0.480721
chr1:7000000-7500000	chr1	7000000	-0.311613	-0.120746	-0.596694	-0.143894	0	0.914329	-0.0880043	0.645172	-0.0978807	nan	0	nan	0	1	0	0.25	0.940427	0.476089
chr1:7500000-8000000	chr1	7500000	-0.760146	-0.0300972	-1.04287	0.100078	5	1.0141	-0.037833	0.957831	-0.142395	0.0513422	4	0.100905	4	9	0	0.25	0.936319	0.478455
chr1:8000000-8500000	chr1	8000000	-1.04336	0.0494923	-0.863408	-0.157725	2	1.00172	-0.016534	0.980761	-0.0470266	-0.182916	2	0.148083	2	11	0	0.25	0.93221	0.45897
chr1:8500000-9000000	chr1	8500000	-1.40931	0.16254	-1.18423	0.0947633	3	1.05469	-0.00833701	1.23395	-0.127617	-0.0607498	2	-0.0565958	2	3	0	0.25	0.928102	0.433273
chr1:9000000-9500000	chr1	9000000	-0.689301	-0.198354	-1.09445	0.0807523	5	1.26509	0.012516	1.21665	0.0526938	-0.00181173	5	0.0978887	3	12	0	0	0.923993	0.506915
chr1:9500000-10000000	chr1	9500000	-0.845986	-0.142162	-1.31589	0.209708	8	1.23394	0.00913519	1.18005	-0.0139743	0.131342	8	0.00957753	8	14	0	0	0.919885	0.494273
chr1:10000000-10500000	chr1	10000000	-1.2092	0.114989	-1.35747	0.0118021	7	1.29155	-0.088071	1.22573	-0.0582022	0.0877319	7	0.0494307	6	7	0	0	0.915776	0.44418
chr1:10500000-11000000	chr1	10500000	-0.641459	-0.171679	-0.948288	0.124789	2	1.22098	-0.0479475	1.13386	-0.151951	nan	1	nan	1	13	0	0	0.911668	0.517271
chr1:11000000-11500000	chr1	11000000	-0.179119	-0.375761	-0.545121	-0.238471	8	1.15999	0.0700716	1.32265	-0.0446772	0.049705	8	0.146235	6	6	0	0	0.90756	0.481606
chr1:11500000-12000000	chr1	11500000	-0.406972	-0.312915	-0.723865	-0.0450391	15	1.16902	-0.100679	1.26098	-0.103633	-0.0335774	13	-0.0721899	14	18	0	0	0.903451	0.520024
chr1:12000000-12500000	chr1	12000000	-0.475068	0.0544348	-0.403143	-0.239046	4	0.0460963	0.147225	1.26887	-0.0728179	-0.0587938	4	-0.0448273	3	6	0	0	0.899343	0.465913
chr1:12500000-13000000	chr1	12500000	0.557833	0.0659306	0.394897	0.00537602	13	-1.15655	0.20791	0.45086	-0.0123253	0.140818	2	nan	1	3	0.091232	0.5	0.895234	0.46511
chr1:13000000-13500000	chr1	13000000	1.03336	0.0991824	0.797487	0.152493	17	-1.60254	0.285802	0.170788	-0.185262	0.107955	2	nan	0	0	0.008768	0.5	0.891126	0.462498
chr1:13500000-14000000	chr1	13500000	0.938749	-0.101648	0.781993	-0.153531	3	-1.27277	0.447298	0.522966	-0.00801055	0.0020632	3	-0.0419166	2	7	0	0.5	0.887017	0.441063
chr1:14000000-14500000	chr1	14000000	0.824798	0.16663	0.666512	0.0396161	0	-1.4442	0.239225	0.318711	-0.117917	nan	0	nan	0	0	0	0.5	0.882909	0.425014
chr1:14500000-15000000	chr1	14500000	0.579451	-0.353869	0.339662	-0.273714	1	-0.685749	0.213813	0.645215	0.060743	nan	1	nan	1	3	0	0.5	0.8788	0.473831
chr1:15000000-15500000	chr1	15000000	-0.213628	-0.05694	-0.317819	-0.127048	6	0.0148138	0.306816	1.16133	-0.0131137	-0.116757	4	-0.045596	3	6	0	0.5	0.874692	0.490215
chr1:15500000-16000000	chr1	15500000	-1.02445	-0.0334069	-1.19628	0.146143	12	1.08575	0.00600013	1.24703	-0.0507252	0.0314529	11	0.016258	10	19	0	0.5	0.870583	0.478471
chr1:16000000-16500000	chr1	16000000	-0.941549	0.0164496	-1.08632	0.0740518	12	1.30688	0.00885312	0.857965	-0.013198	-0.0289978	10	-0.0201205	10	13	0	0	0.866475	0.50736
chr1:16500000-17000000	chr1	16500000	-0.64714	-0.150019	-1.05177	-0.181039	8	1.39078	-0.240217	0.575963	-0.0280691	-0.214918	3	0.225841	4	29	0.1	0	0.862366	0.492481
chr1:17000000-17500000	chr1	17000000	-0.296289	-0.440835	-0.777469	-0.0467481	8	1.19316	0.142961	0.838818	-0.0484519	0.177163	5	-0.0162541	5	8	0	0	0.858258	0.498286
chr1:17500000-18000000	chr1	17500000	0.524844	-0.197334	0.0507257	-0.149431	2	1.10421	0.0754265	0.371092	-0.0614412	nan	1	nan	1	4	0	0	0.85415	0.508558
chr1:18000000-18500000	chr1	18000000	0.729354	0.0201564	0.491618	-0.0739272	2	1.07714	0.0572505	0.343709	0.0346509	nan	1	nan	1	6	0	0	0.850041	0.489131
chr1:18500000-19000000	chr1	18500000	0.27539	-0.15542	-0.0664701	0.0120278	4	1.08091	0.0887762	0.991364	-0.0413008	0.0385723	3	0.0880721	2	13	0	0	0.845933	0.505419
chr1:19000000-19500000	chr1	19000000	-0.675444	-0.0600938	-0.884128	-0.209363	7	1.19251	-0.0598822	1.21518	-0.00677676	0.0699675	7	0.114044	5	7	0	0	0.841824	0.477805
chr1:19500000-20000000	chr1	19500000	-0.324472	-0.309068	-0.918764	-0.143805	8	1.08636	-0.0161861	1.02566	-0.0887107	0.15088	5	0.138702	4	6	0	0	0.837716	0.465985
chr1:20000000-20500000	chr1	20000000	-0.0471828	-0.145869	-0.273812	-0.262725	7	1.03562	0.0086032	1.00498	-0.0548643	0.100401	3	-0.0952166	2	5	0	0.25	0.833607	0.476924
chr1:20500000-21000000	chr1	20500000	-1.06943	0.112104	-1.39446	0.216861	8	1.02807	0.0311137	1.34632	-0.050943	0.0015186	8	0.146762	7	9	0	0.25	0.829499	0.44791
chr1:21000000-21500000	chr1	21000000	-1.00073	-0.169188	-1.29003	0.0609344	3	1.12142	-0.00743419	1.15209	0.0652543	-0.321679	3	-0.023704	3	8	0	0.25	0.82539	0.456448
chr1:21500000-22000000	chr1	21500000	-0.928393	0.0256443	-1.08297	0.0630878	6	1.26776	-0.113666	1.34706	-0.0619322	-0.173423	5	-0.0798917	5	15	0	0.25	0.821282	0.50828
chr1:22000000-22500000	chr1	22000000	-0.882665	0.0955092	-1.17638	-0.00873751	4	0.971891	0.184319	1.00931	-0.0973554	-0.0227851	3	0.0632627	3	8	0	0.25	0.817173	0.484908
chr1:22500000-23000000	chr1	22500000	-0.848562	-0.000754839	-0.923286	-0.127685	6	1.09254	0.0373955	1.24778	-0.0185721	0.160516	2	-0.295309	2	9	0	0.25	0.813065	0.504374
chr1:23000000-23500000	chr1	23000000	-1.33032	0.109216	-1.11548	-0.0413868	8	0.987423	0.0698168	1.27966	-0.00680154	-0.0385992	7	0.0666513	6	9	0	0.25	0.808956	0.449462
chr1:23500000-24000000	chr1	23500000	-1.15633	0.0846527	-1.11838	-0.144743	12	1.06265	-0.032121	1.34904	-0.0874758	0.175217	11	-0.000799904	11	14	0	0	0.804848	0.473985
chr1:24000000-24500000	chr1	24000000	-0.990325	0.0970021	-1.21885	0.0899532	6	1.04782	0.0268861	1.16995	-0.205243	-0.0558355	5	-0.0499256	4	4	0	0	0.80074	0.47023
chr1:24500000-25000000	chr1	24500000	-1.24297	0.0136775	-1.26783	-0.042332	5	0.913628	0.160059	1.16051	-0.0545589	0.0218959	4	-0.0245344	4	9	0	0	0.796631	0.466889
chr1:25000000-25500000	chr1	25000000	-1.04779	-0.0391329	-1.23886	-0.0764112	6	0.922218	0.0951017	1.24683	-0.0533194	0.196361	6	0.00703707	5	8	0	0	0.792523	0.467123
chr1:25500000-26000000	chr1	25500000	-0.94522	-0.00511445	-1.29241	0.204461	8	1.05291	-0.00311077	1.26909	-0.0323346	0.0812376	8	-0.00561009	8	11	0	0	0.788414	0.489321
chr1:26000000-26500000	chr1	26000000	-0.977814	-0.0809356	-1.32204	0.0209995	19	1.14559	0.0399295	1.27577	-0.0118861	0.00944996	16	0.124565	12	16	0	0	0.784306	0.489035
chr1:26500000-27000000	chr1	26500000	-1.24118	0.1836	-1.21166	0.0581984	11	1.0916	0.174051	1.25647	-0.0113204	0.0253923	9	0.0497869	10	14	0	0	0.780197	0.482744
chr1:27000000-27500000	chr1	27000000	-0.989696	0.109852	-1.0976	-0.0473614	10	1.09475	0.14549	1.17836	0.0303711	0.0644328	8	0.00540333	9	13	0	0	0.776089	0.493082
chr1:27500000-28000000	chr1	27500000	-1.03288	0.00778669	-1.08104	-0.185004	10	1.13247	0.00022291	1.2934	-0.0216773	0.0833808	9	0.0416509	8	18	0	0.25	0.77198	0.477065
chr1:28000000-28500000	chr1	28000000	-1.35383	0.138373	-1.41614	0.204278	7	1.03592	0.0393439	1.28623	0.074381	0.0696246	7	0.185916	6	7	0	0.25	0.767872	0.444612
chr1:28500000-29000000	chr1	28500000	-0.984707	0.171623	-1.05555	-0.0988415	9	0.887877	0.209372	1.28713	-0.00170679	0.102342	8	0.0655761	7	13	0	0.25	0.763763	0.465349
chr1:29000000-29500000	chr1	29000000	-0.0991246	-0.171498	-0.451678	-0.152173	4	1.04611	-0.0475241	0.792435	-0.00718245	0.0308439	4	-0.0711181	4	8	0	0.25	0.759655	0.470327
chr1:29500000-30000000	chr1	29500000	0.498988	-0.263254	0.0803309	-0.0699058	0	0.873347	-0.0582087	0.483087	-0.0229004	nan	0	nan	0	0	0.003204	0.25	0.755546	0.475711
chr1:30000000-30500000	chr1	30000000	0.645421	-0.183726	0.251878	-0.0769383	0	0.821639	0.02308	0.543558	-0.0877366	nan	0	nan	0	0	0	0	0.751438	0.480175
chr1:30500000-31000000	chr1	30500000	-0.22392	-0.0820537	-0.497994	-0.0884828	3	1.03392	0.0730173	1.1885	0.10023	0.183657	3	0.097181	3	6	0	0	0.747329	0.483895
chr1:31000000-31500000	chr1	31000000	-0.936134	0.110839	-1.02563	-0.288583	6	1.04414	0.0807775	1.27479	-0.0537654	0.207346	6	0.0621606	6	6	0	0	0.743221	0.458853
chr1:31500000-32000000	chr1	31500000	-0.97835	0.131456	-1.2582	0.146056	8	1.30593	-0.130409	1.38986	-0.0323435	-0.111412	6	0.172122	6	13	0	0	0.739113	0.487007
chr1:32000000-32500000	chr1	32000000	-0.713432	-0.108827	-1.1124	-0.121864	17	1.21488	0.0851868	1.30639	0.0353098	0.0884437	16	0.0418022	15	16	0	0	0.735004	0.476458
chr1:32500000-33000000	chr1	32500000	-0.886374	0.0323708	-0.979302	-0.00950197	11	1.09179	-0.042442	1.3978	-0.0694155	-0.140518	10	0.0698793	8	14	0	0.25	0.730896	0.469867
chr1:33000000-33500000	chr1	33000000	-0.319609	-0.185564	-0.695505	-0.111405	7	1.02852	-0.0219957	1.21665	-0.0244375	-0.159605	6	0.0660251	6	13	0	0.25	0.726787	0.464945
chr1:33500000-34000000	chr1	33500000	0.541349	-0.282972	0.331828	-0.398475	1	0.59488	-0.0382626	0.284659	0.021029	nan	0	nan	0	2	0	0.25	0.722679	0.452738
chr1:34000000-34500000	chr1	34000000	0.69999	-0.367915	0.342538	-0.290719	2	0.348298	0.101007	0.390335	-0.031227	nan	1	nan	1	2	0	0.25	0.71857	0.440504
chr1:34500000-35000000	chr1	34500000	0.425159	-0.219445	0.0503255	-0.0770366	7	0.618833	0.0405003	0.835498	0.0201602	0.00886661	4	0.162904	3	11	0	0	0.714462	0.454782
chr1:35000000-35500000	chr1	35000000	-0.828326	-0.0246556	-0.793822	-0.193549	4	0.96014	0.0753223	1.28577	-0.0100551	-0.0211958	4	0.0812778	4	6	0	0	0.710353	0.413978
chr1:35500000-36000000	chr1	35500000	-0.695287	-0.11142	-1.01336	-0.0527818	9	1.16995	0.056457	1.31672	0.119477	0.02268	9	0.0608786	9	11	0	0	0.706245	0.43632
chr1:36000000-36500000	chr1	36000000	-0.726981	0.128963	-0.938728	0.0405804	13	1.29283	0.0327912	1.41356	-0.10157	0.154889	11	0.0451312	12	15	0	0	0.702136	0.47647
chr1:36500000-37000000	chr1	36500000	1.38873	-0.203186	0.814793	0.0715591	0	0.763659	0.0520494	0.554686	0.0526069	nan	0	nan	0	0	0	0	0.698028	0.489808
chr1:37000000-37500000	chr1	37000000	1.12626	0.0205816	0.757883	0.0495282	2	0.680764	0.135447	0.745905	0.139578	0.0451491	2	nan	1	3	0	0	0.693919	0.473907
chr1:37500000-38000000	chr1	37500000	0.0510288	-0.150176	-0.274556	-0.0511572	14	1.10339	0.0536952	1.39046	-0.0544711	0.00420856	14	0.125154	11	17	0	0	0.689811	0.471641
chr1:38000000-38500000	chr1	38000000	0.827133	0.142486	0.73885	-0.121855	3	0.779662	0.0451862	0.775641	-0.0802801	0.215882	3	0.0932803	2	3	0	0	0.685703	0.461922
chr1:38500000-39000000	chr1	38500000	0.296751	0.078273	0.169559	-0.0722611	5	0.958512	-0.0824446	1.02026	-0.0525851	0.169076	5	0.0223903	3	7	0	0	0.681594	0.446787
chr1:39000000-39500000	chr1	39000000	-1.1323	0.186531	-1.17925	-0.0535206	3	1.14611	0.00703344	1.31373	-0.0203213	0.0531399	3	0.065278	3	4	0	0	0.677486	0.437885
chr1:39500000-40000000	chr1	39500000	-0.882876	0.032354	-1.14371	-0.0299631	10	1.23873	0.0756226	1.34294	0.0501386	0.083797	9	0.143868	6	12	0	0.25	0.673377	0.47502
chr1:40000000-40500000	chr1	40000000	-1.18713	0.0256588	-1.35944	0.11265	9	1.10566	0.0550717	1.25586	-0.0169975	-0.0564709	8	0.0625236	8	13	0	0.25	0.669269	0.426882
chr1:40500000-41000000	chr1	40500000	-0.93238	-0.0545864	-1.00784	-0.044035	7	1.22405	-0.0487475	1.18989	0.0106694	-0.0448288	7	0.106244	7	13	0	0.25	0.66516	0.464234
chr1:41000000-41500000	chr1	41000000	-0.734489	-0.159535	-0.994407	-0.0229001	4	1.0912	0.00283573	1.00176	-0.0346967	0.0746601	4	-0.03966	4	7	0	0.25	0.661052	0.454102
chr1:41500000-42000000	chr1	41500000	-0.617271	-0.0203377	-0.842917	-0.154566	2	0.99028	0.0135262	1.00528	0.11809	nan	1	nan	1	3	0	0.25	0.656943	0.472081
chr1:42000000-42500000	chr1	42000000	-0.841773	0.0988108	-1.01125	-0.0538113	7	0.896343	0.14187	1.08535	-0.13404	-0.16268	5	-0.0495948	5	6	0	0.25	0.652835	0.40924
chr1:42500000-43000000	chr1	42500000	-0.854301	0.0884322	-0.901549	-0.206134	10	1.17166	-0.0868537	1.21859	-0.0333769	0.11836	8	0.100048	10	12	0	0.25	0.648726	0.437709
chr1:43000000-43500000	chr1	43000000	-0.722818	-0.0716624	-1.22923	0.0886154	12	1.2711	0.0186689	1.25712	0.0223609	0.155054	9	0.043382	9	12	0	0.25	0.644618	0.465902
chr1:43500000-44000000	chr1	43500000	-0.764716	-0.119639	-1.13242	-0.00911325	9	1.39321	-0.0848606	1.27552	-0.023572	-0.0563708	9	0.00431412	9	14	0	0	0.640509	0.483599
chr1:44000000-44500000	chr1	44000000	-0.554307	-0.119503	-0.758527	-0.326168	6	1.25753	0.0292596	1.03335	-0.0353548	0.0530099	4	0.0973505	4	6	0	0	0.636401	0.458032
chr1:44500000-45000000	chr1	44500000	-0.404145	-0.275381	-0.620167	-0.307029	12	1.22815	0.122651	1.32925	-0.0138847	0.208625	10	0.0530802	9	14	0	0	0.632293	0.473821
chr1:45000000-45500000	chr1	45000000	-0.390833	-0.170176	-0.405896	-0.438309	7	0.904681	-0.101854	1.17871	-0.0702411	-0.0815711	7	0.148764	7	7	0	0	0.628184	0.426077
chr1:45500000-46000000	chr1	45500000	-1.06952	-0.136524	-1.1448	-0.0307317	10	1.12752	-0.0939272	1.26022	-0.0578687	0.0490772	10	-0.0194343	10	7	0	0	0.624076	0.426081
chr1:46000000-46500000	chr1	46000000	-0.531732	0.0238346	-0.716108	-0.163629	11	0.933665	0.0743021	1.26714	0.0057307	0.137875	10	0.00655817	8	13	0	0	0.619967	0.472252
chr1:46500000-47000000	chr1	46500000	0.795435	0.0516694	0.63011	-0.0296978	9	-0.577195	0.427651	0.399433	-0.00872628	-0.10466	4	-0.0206355	4	7	0	0.75	0.615859	0.441297
chr1:47000000-47500000	chr1	47000000	0.697604	0.013083	0.514425	-0.0114607	9	-0.654356	0.49708	0.345389	0.111157	0.0950366	6	-0.0529651	3	11	0	0.75	0.61175	0.441205
chr1:47500000-48000000	chr1	47500000	1.4144	0.0866837	1.00314	0.0714195	1	-0.13062	0.243785	-0.311377	-0.102123	nan	1	nan	1	8	0	0.75	0.607642	0.479622
chr1:48000000-48500000	chr1	48000000	1.27199	0.239812	1.37581	-0.0175468	2	-1.27229	0.14941	-0.897896	-0.0857832	nan	1	nan	1	1	0	0.75	0.603533	0.410235
chr1:48500000-49000000	chr1	48500000	1.43138	0.417026	1.32927	-0.0376425	1	-1.36217	0.230651	-1.03681	-0.0587935	nan	1	nan	1	2	0	0.75	0.599425	0.421772
chr1:49000000-49500000	chr1	49000000	1.25324	0.228115	1.14279	0.379848	0	-1.80713	0.0876655	-1.22585	0.0359395	nan	0	nan	0	0	0	0.75	0.595316	0.381559
chr1:49500000-50000000	chr1	49500000	0.992712	0.497266	1.15132	0.191205	0	-1.85295	0.119386	-1.25388	-0.0168939	nan	0	nan	0	0	0	0.75	0.591208	0.369461
chr1:50000000-50500000	chr1	50000000	1.09147	0.277965	0.93255	0.114515	3	-1.62355	0.235048	-0.998212	0.0821525	nan	1	nan	0	10	0	0	0.587099	0.417644
chr1:50500000-51000000	chr1	50500000	0.176741	-0.126403	0.46908	-0.0310779	2	-1.45527	0.20827	-0.00833089	0.140604	-0.0153866	2	0.10434	2	3	0	0	0.582991	0.381881
chr1:51000000-51500000	chr1	51000000	-0.365048	-0.109712	-0.299922	-0.148586	3	-1.08872	0.397182	0.577935	0.065922	-0.177445	2	-0.0524992	2	3	0	0	0.578882	0.412314
chr1:51500000-52000000	chr1	51500000	-1.14792	0.185149	-1.00593	-0.09214	4	0.35263	0.151048	0.989895	0.0271382	0.0117706	4	-0.0381203	4	5	0	0	0.574774	0.409605
chr1:52000000-52500000	chr1	52000000	-1.09363	0.0709183	-1.13856	-0.0950803	7	0.84136	0.0804143	0.985116	0.0216505	0.0631942	7	0.0812715	7	7	0	0	0.570666	0.418383
chr1:52500000-53000000	chr1	52500000	-0.923808	0.0717589	-1.08588	-0.20897	8	1.17987	-0.166225	1.11621	0.00434777	-0.00984106	7	0.095588	6	8	0	0	0.566557	0.429899
chr1:53000000-53500000	chr1	53000000	-0.730789	-0.0117123	-0.951868	-0.0322627	7	1.26277	-0.0306723	0.903857	-0.00152109	0.092714	6	0.0311798	5	11	0	0	0.562449	0.480431
chr1:53500000-54000000	chr1	53500000	-0.933576	0.0574281	-1.04603	-0.138591	6	1.27965	0.0562249	0.987551	-0.0571789	0.116683	5	-0.0174002	3	4	0	0	0.55834	0.46388
chr1:54000000-54500000	chr1	54000000	-0.49878	-0.0196522	-0.829731	-0.144571	7	1.1684	-0.104055	0.793402	-0.0203029	0.0741937	5	-0.0392293	5	10	0	0	0.554232	0.486782
chr1:54500000-55000000	chr1	54500000	-0.565949	-0.00842364	-0.493933	-0.362885	10	1.31505	-0.0578989	0.707558	-0.206405	0.0117978	9	0.0336241	4	9	0	0	0.550123	0.483107
chr1:55000000-55500000	chr1	55000000	-0.460666	0.0286368	-0.51151	-0.354206	2	1.07791	-0.147178	-0.22994	-0.00193035	-0.14952	2	0.095939	2	2	0	0	0.546015	0.425427
chr1:55500000-56000000	chr1	55500000	-0.189462	0.339929	-0.114588	-0.040425	0	0.771544	-0.0577926	-0.924367	0.077903	nan	0	nan	0	0	0	0.5	0.541906	0.40215
chr1:56000000-56500000	chr1	56000000	0.148341	-0.0893191	-0.0351098	-0.160581	0	0.829412	-0.116774	-0.488018	0.092793	nan	0	nan	0	1	0	0.5	0.537798	0.405256
chr1:56500000-57000000	chr1	56500000	-0.191026	0.265457	-0.191337	0.139869	5	0.90914	-0.280349	-0.888509	-0.0380872	0.107995	2	-0.0569523	3	2	0	0.5	0.533689	0.404175
chr1:57000000-57500000	chr1	57000000	0.57071	0.395073	0.50383	0.033992	1	0.715366	-0.301937	-0.973004	-0.0139201	nan	1	nan	1	1	0	0.5	0.529581	0.408463
chr1:57500000-58000000	chr1	57500000	0.714809	0.229167	0.654832	0.0418767	0	0.496339	-0.535508	-1.0531	0.0372475	nan	0	nan	0	0	0	0.5	0.525472	0.403177
chr1:58000000-58500000	chr1	58000000	0.601838	0.326811	0.68769	-0.0098122	0	0.430379	-0.281153	-0.439568	0.114759	nan	0	nan	0	1	0	0.5	0.521364	0.417726
chr1:58500000-59000000	chr1	58500000	-0.647451	0.081375	-0.437393	-0.403922	4	0.483245	-0.0433001	0.211965	0.192672	-0.151943	3	0.03475	3	7	0	0	0.517256	0.416714
chr1:59000000-59500000	chr1	59000000	-0.699945	0.145092	-0.510873	-0.27496	1	0.428107	-0.0488437	-0.296776	0.245359	nan	1	nan	1	2	0	0	0.513147	0.40962
chr1:59500000-60000000	chr1	59500000	-0.0854557	-0.00417859	-0.253944	0.0658443	2	-0.028074	-0.0453394	-0.930224	0.0497783	0.0771032	2	-0.161162	2	2	0	0	0.509039	0.396181
chr1:60000000-60500000	chr1	60000000	0.380336	0.462378	0.433991	0.265576	1	-1.25592	-0.0316355	-1.39732	-0.0949971	nan	0	nan	0	1	0	0	0.50493	0.376733
chr1:60500000-61000000	chr1	60500000	0.736598	0.278226	0.628104	0.208832	0	-1.1216	0.0276435	-1.34894	-0.00158315	nan	0	nan	0	0	0	0	0.500822	0.395193
chr1:61000000-61500000	chr1	61000000	0.0554386	0.255691	0.168195	0.291251	1	-0.106673	-0.0521286	-1.298	0.00731174	nan	1	nan	1	5	0	0.5	0.496713	0.396923
chr1:61500000-62000000	chr1	61500000	0.357774	0.0169438	0.467438	-0.138845	2	-0.257078	0.0553046	-0.998865	0.0553177	-0.0924459	2	0.0367374	2	3	0	0.5	0.492605	0.404387
chr1:62000000-62500000	chr1	62000000	0.112915	0.0160176	0.228246	-0.225005	3	0.422588	-0.0778482	-0.551115	0.0458733	-0.0845136	2	-0.0587448	2	3	0	0.5	0.488496	0.431961
chr1:62500000-63000000	chr1	62500000	-0.170979	-0.121978	-0.0400374	0.15288	3	0.415941	-0.198374	0.150619	0.0575573	-0.17305	2	-0.118715	2	1	0	0.5	0.484388	0.380901
chr1:63000000-63500000	chr1	63000000	0.384529	0.065442	0.326545	0.0458418	2	0.165151	-0.57281	-0.566785	0.00638776	0.104123	2	nan	1	3	0	0.5	0.480279	0.397256
chr1:63500000-64000000	chr1	63500000	-0.786196	0.143352	-0.594137	-0.250645	4	0.403674	-0.263866	-0.566472	0.124584	-0.194402	4	-0.00265922	4	2	0	0.5	0.476171	0.409929
chr1:64000000-64500000	chr1	64000000	-0.513792	-0.0341895	-0.267001	-0.542714	2	0.583254	-0.141133	-1.01369	0.127693	nan	1	nan	1	1	0	0.5	0.472062	0.407837
chr1:64500000-65000000	chr1	64500000	-0.569356	0.181149	-0.33372	-0.149492	2	0.556284	-0.158698	-0.896119	-0.00428273	0.028478	2	-0.0537011	2	3	0	0.5	0.467954	0.405222
chr1:65000000-65500000	chr1	65000000	-0.121103	0.197929	0.0102897	-0.112169	4	0.130028	-0.0925144	-0.87783	-0.0911631	-0.144008	4	-0.167756	4	7	0	0.5	0.463846	0.412272
chr1:65500000-66000000	chr1	65500000	0.112768	0.0752748	0.16494	0.143056	1	-1.07215	-0.150641	-1.51014	0.148327	nan	1	nan	1	2	0	0.5	0.459737	0.373631
chr1:66000000-66500000	chr1	66000000	-0.307143	0.141809	-0.134821	0.126521	0	-1.14039	-0.0471533	-0.629973	-0.0045682	nan	0	nan	0	0	0	0.5	0.455629	0.382708
chr1:66500000-67000000	chr1	66500000	-0.905255	0.0975197	-0.597963	0.103667	5	-0.530373	-0.167165	-0.908807	0.0220211	0.0867149	4	-0.315736	2	4	0	0.5	0.45152	0.373551
chr1:67000000-67500000	chr1	67000000	-0.650066	0.087687	-0.683351	-0.208615	5	0.151511	-0.149634	-0.00206738	-0.000665784	0.205215	2	-0.0458806	2	3	0	0.5	0.447412	0.402495
chr1:67500000-68000000	chr1	67500000	-0.793537	0.0527133	-0.686396	-0.159002	2	-0.036276	-0.0546135	-0.917038	-0.152915	-0.11695	2	-0.096977	2	2	0	0.5	0.443303	0.415638
chr1:68000000-68500000	chr1	68000000	-0.774268	0.130768	-0.711194	0.101356	4	-0.708414	0.0440844	-1.41287	0.0179091	-0.0787712	4	0.0526711	4	6	0	0.5	0.439195	0.399135
chr1:68500000-69000000	chr1	68500000	0.419965	0.114179	0.591088	-0.0214719	0	-1.70444	0.158165	-1.54241	0.0125684	nan	0	nan	0	0	0	0	0.435086	0.372829
